source_node,packet_id,request_ms,e2e_delay_ms
2,1,60370.0,147.568
13,1,60432.0,44.568
4,1,60524.0,73.568
16,1,60782.0,52.568
11,1,61105.0,60.568
7,1,61621.0,21.136
6,1,61716.0,70.568
12,1,62625.0,79.568
8,1,62804.0,69.568
9,1,62931.0,46.568
3,1,63092.0,41.568
14,1,63565.0,43.568
5,1,64112.0,33.568
10,1,64424.0,14.568
15,1,64788.0,27.568
11,2,65600.0,40.568
2,2,65689.0,36.568
6,2,65754.0,48.568
13,2,66231.0,52.568
16,2,66278.0,39.568
4,2,66322.0,31.568
12,2,67089.0,51.136
7,2,67449.0,78.568
8,2,67515.0,55.568
3,2,67685.0,26.568
9,2,68041.0,89.568
5,2,68780.0,38.568
14,2,69059.0,45.568
10,2,69647.0,65.568
2,3,69775.0,24.568
6,3,69908.0,71.568
15,2,70527.0,21.568
16,3,70984.0,54.568
11,3,71076.0,67.568
4,3,71331.0,58.568
13,3,71569.0,45.568
12,3,72149.0,82.568
3,3,72433.0,31.568
7,3,72857.0,51.568
8,3,73015.0,37.568
14,3,73444.0,37.568
9,3,73708.0,79.568
5,3,74564.0,35.568
6,4,74879.0,51.568
10,3,74880.0,33.568
16,4,75149.0,84.568
2,4,75403.0,72.568
11,4,75609.0,48.568
13,4,75646.0,41.568
4,4,76251.0,68.568
15,3,76298.0,63.568
3,4,76547.0,12.568
12,4,77437.0,13.136
8,4,77697.0,50.568
14,4,78586.0,47.568
7,4,78649.0,46.568
9,4,79485.0,42.568
6,5,79916.0,38.568
5,4,80178.0,48.568
2,5,80277.0,48.568
3,5,80762.0,47.568
10,4,80842.0,52.568
16,5,80955.0,60.568
11,5,81038.0,80.568
4,5,81180.0,52.568
13,5,81568.0,29.568
15,4,81855.0,29.568
14,5,82854.0,32.568
8,5,83314.0,56.568
12,5,83362.0,94.568
7,5,83492.0,50.568
9,5,84792.0,67.568
5,5,85329.0,42.568
6,6,85544.0,49.568
2,6,85784.0,72.568
4,6,85965.0,40.568
3,6,86056.0,71.568
11,6,86065.0,114.568
15,5,86096.0,45.568
10,5,86546.0,51.136
16,6,86698.0,54.568
14,6,87262.0,39.568
13,6,87380.0,45.568
12,6,88697.0,59.568
7,6,89029.0,53.568
9,6,89096.0,58.136
8,6,89107.0,42.568
2,7,90641.0,59.568
3,7,90758.0,37.568
5,6,90902.0,62.568
11,7,91086.0,43.568
15,6,91140.0,37.568
4,7,91156.0,94.568
10,6,91430.0,55.136
6,7,91441.0,39.568
14,7,92333.0,41.568
16,7,92537.0,54.568
13,7,92920.0,24.568
8,7,93247.0,33.136
7,7,93844.0,49.568
12,7,94479.0,56.568
9,7,94593.0,28.136
2,8,94924.0,29.568
4,8,95254.0,62.568
5,7,95297.0,51.568
3,8,95505.0,66.568
11,8,96675.0,75.568
14,8,96770.0,58.568
16,8,96779.0,55.568
15,7,96888.0,64.568
6,8,96965.0,70.568
10,7,97040.0,86.568
13,8,97765.0,68.568
7,8,98163.0,49.864
8,8,98192.0,128.568
9,8,99191.0,51.568
3,9,99607.0,71.568
2,9,99692.0,29.568
4,9,99744.0,51.568
5,8,99892.0,18.568
12,8,100319.0,47.568
11,9,100804.0,45.568
10,8,101122.0,35.568
15,8,101614.0,31.568
6,9,101864.0,48.568
16,9,102030.0,34.568
8,9,102259.0,79.568
7,9,102627.0,36.568
14,9,102760.0,43.568
13,9,102982.0,47.568
2,10,104487.0,32.6
5,9,104771.0,56.568
9,9,105126.0,50.568
3,10,105552.0,28.6
4,10,105735.0,56.6
12,9,105928.0,81.568
10,9,106614.0,51.568
11,10,106739.0,58.6
7,10,107121.0,57.6
6,10,107136.0,13.6
14,10,107402.0,52.6
8,10,107408.0,51.2
15,9,107490.0,49.568
16,10,107623.0,46.6
13,10,108867.0,26.6
2,11,110087.0,60.6
4,11,110437.0,
12,10,110456.0,214.6
3,11,110466.0,
5,10,110471.0,46.6
9,10,110597.0,48.6
10,10,111519.0,51.2
6,11,111883.0,21.6
8,11,112011.0,39.6
11,11,112148.0,18.6
15,10,112151.0,52.6
7,11,112731.0,59.6
13,11,112903.0,25.2
14,11,112918.0,36.6
16,11,113276.0,54.6
2,12,114573.0,18.6
9,11,114614.0,59.6
4,12,115049.0,55.6
5,11,115246.0,65.6
12,11,115778.0,38.6
3,12,116196.0,60.6
11,12,116493.0,11.6
10,11,117110.0,53.6
13,12,117256.0,70.6
8,12,117269.0,72.6
6,12,117358.0,72.6
15,11,117756.0,49.6
7,12,118090.0,47.6
14,12,118285.0,41.6
16,12,118674.0,46.6
9,12,118965.0,64.6
5,12,119507.0,47.6
4,13,119594.0,70.6
2,13,120194.0,37.6
12,12,120229.0,49.6
11,13,121253.0,30.6
3,13,121489.0,73.6
15,12,122479.0,49.6
10,12,122534.0,53.6
14,13,122814.0,26.2
8,13,122844.0,76.6
6,13,122849.0,49.6
13,13,122883.0,62.6
5,13,123547.0,40.6
16,13,123730.0,39.6
9,13,123819.0,48.6
7,13,124086.0,27.6
2,14,124916.0,73.6
4,14,125393.0,20.6
3,14,125904.0,49.6
12,13,125950.0,51.6
15,13,126778.0,64.2
11,14,126782.0,55.6
10,13,127001.0,55.6
14,14,128133.0,41.6
6,14,128179.0,49.6
7,14,128347.0,84.6
13,14,128517.0,75.6
8,14,128804.0,28.6
9,14,128816.0,51.6
16,14,128933.0,18.6
5,14,129491.0,56.6
4,15,129530.0,39.6
2,15,130071.0,22.2
12,14,130149.0,70.6
3,15,130761.0,44.6
11,15,131122.0,24.6
15,14,132199.0,70.6
10,14,132413.0,35.6
6,15,132814.0,70.6
7,15,132974.0,68.6
9,15,132981.0,74.6
13,15,133582.0,61.6
14,15,133694.0,34.6
16,15,134186.0,65.6
2,16,134585.0,48.6
8,15,134608.0,31.6
12,15,134711.0,19.2
4,16,134778.0,44.6
5,15,135195.0,128.6
