source_node,packet_id,request_ms,e2e_delay_ms
3,1,60157.0,48.568
7,1,60190.0,74.568
12,1,60334.0,60.568
11,1,60395.0,50.568
10,1,61064.0,49.568
16,1,61246.0,49.568
6,1,61438.0,67.568
5,1,61666.0,75.568
9,1,61802.0,59.568
8,1,62382.0,40.568
13,1,62577.0,45.568
2,1,63200.0,39.568
14,1,64176.0,48.568
15,1,64464.0,70.568
4,1,64624.0,35.568
11,2,65061.0,29.568
12,2,65477.0,54.568
10,2,65637.0,35.568
3,2,65672.0,53.568
6,2,65849.0,37.568
7,2,66140.0,39.136
16,2,66232.0,25.568
5,2,66586.0,39.568
9,2,67177.0,58.568
2,2,67881.0,24.568
8,2,68033.0,39.568
13,2,68508.0,60.568
15,2,68731.0,55.568
14,2,69469.0,54.568
4,2,69931.0,41.568
11,3,70296.0,80.568
16,3,70375.0,41.568
6,3,70815.0,128.568
7,3,70832.0,71.568
12,3,70975.0,33.568
10,3,71367.0,74.568
5,3,71381.0,79.568
3,3,71589.0,27.568
8,3,72522.0,15.568
9,3,73086.0,72.568
13,3,73539.0,32.568
2,3,73628.0,33.568
15,3,74106.0,50.568
4,3,74645.0,30.568
14,3,75161.0,37.568
11,4,75214.0,47.136
6,4,75721.0,61.568
16,4,75999.0,53.568
12,4,76091.0,12.568
7,4,76366.0,57.568
10,4,77125.0,59.568
3,4,77286.0,57.568
5,4,77289.0,78.568
9,4,77538.0,64.568
8,4,77825.0,73.568
2,4,77831.0,23.568
15,4,78246.0,47.568
13,4,78905.0,57.568
14,4,79197.0,50.568
4,4,79317.0,32.568
16,5,80291.0,26.568
7,5,80627.0,29.568
12,5,80987.0,54.568
11,5,81037.0,42.568
6,5,81378.0,40.568
2,5,82283.0,35.568
5,5,82347.0,59.568
3,5,82576.0,57.568
10,5,82643.0,16.568
15,5,82702.0,58.568
8,5,82769.0,56.568
9,5,82977.0,31.568
13,5,83280.0,70.568
4,5,83395.0,36.568
14,5,83672.0,53.568
7,6,85450.0,18.568
16,6,85818.0,61.568
12,6,86283.0,35.136
11,6,86624.0,28.568
6,6,86937.0,48.568
3,6,87016.0,75.568
8,6,87112.0,26.568
15,6,87402.0,74.568
5,6,87499.0,24.568
4,6,87816.0,46.568
10,6,87846.0,42.568
9,6,88157.0,35.568
2,6,88210.0,58.568
13,6,88988.0,47.568
14,6,89016.0,42.568
7,7,91029.0,34.568
6,7,91054.0,66.568
11,7,91091.0,36.568
15,7,91665.0,50.568
16,7,91707.0,68.568
5,7,91904.0,73.568
8,7,91910.0,58.568
3,7,92177.0,48.568
12,7,92234.0,60.568
4,7,92387.0,19.568
9,7,92949.0,58.568
10,7,93144.0,44.568
13,7,93512.0,62.568
2,7,93684.0,36.568
14,7,93980.0,38.568
6,8,95122.0,49.568
7,8,95741.0,28.568
11,8,96374.0,42.568
16,8,96472.0,48.568
8,8,96702.0,35.568
5,8,96844.0,52.568
3,8,97118.0,70.568
15,8,97205.0,54.568
10,8,97618.0,71.568
13,8,97635.0,34.568
4,8,97660.0,78.568
12,8,98182.0,69.568
9,8,98297.0,49.568
2,8,98647.0,54.568
14,8,99114.0,46.568
6,9,99371.0,40.568
7,9,100030.0,49.568
11,9,101081.0,43.136
16,9,101087.0,49.568
4,9,101690.0,31.568
3,9,102173.0,63.568
15,9,102182.0,14.568
8,9,102332.0,59.568
13,9,102395.0,56.568
5,9,102757.0,46.568
10,9,102904.0,37.136
12,9,103043.0,76.568
9,9,103137.0,43.568
7,10,104329.0,55.6
14,9,104487.0,55.568
2,9,104543.0,65.568
6,10,104974.0,60.6
11,10,105800.0,33.6
16,10,105895.0,48.6
4,10,106005.0,47.6
13,10,106597.0,47.6
5,10,106935.0,41.6
12,10,107144.0,29.6
3,10,107488.0,54.6
15,10,107903.0,39.6
8,10,108128.0,49.6
10,10,108460.0,41.2
9,10,108911.0,25.6
7,11,108943.0,15.6
6,11,109216.0,39.6
2,10,109805.0,43.6
11,11,109860.0,44.6
14,10,110142.0,44.6
16,11,110418.0,71.6
4,11,111156.0,72.6
13,11,112520.0,43.6
3,11,112532.0,128.6
5,11,112703.0,36.6
10,11,112789.0,59.6
8,11,112915.0,56.6
12,11,113054.0,74.6
15,11,113304.0,38.6
6,12,113316.0,104.6
14,11,114207.0,39.6
9,11,114310.0,28.6
11,12,114353.0,21.6
7,12,114637.0,35.6
16,12,114916.0,66.6
2,11,115432.0,42.6
4,12,115981.0,80.6
5,12,116805.0,29.6
8,12,117012.0,16.6
12,12,117374.0,56.6
13,12,117559.0,56.6
3,12,118174.0,57.6
6,13,118492.0,26.6
14,12,118511.0,24.6
10,12,118705.0,41.6
9,12,119016.0,45.6
7,13,119049.0,34.6
15,12,119069.0,38.6
11,13,119188.0,43.6
2,12,119549.0,41.2
16,13,119805.0,78.6
5,13,121037.0,57.6
4,13,121154.0,20.2
13,13,122216.0,76.6
8,13,122777.0,67.6
3,13,122924.0,45.6
12,13,122962.0,67.6
10,13,123627.0,63.6
14,13,123895.0,32.6
9,13,124054.0,56.6
11,14,124091.0,81.6
7,14,124105.0,31.6
16,14,124367.0,138.6
2,13,124374.0,34.2
6,14,124419.0,73.6
15,13,124959.0,59.6
4,14,125830.0,70.6
5,14,126489.0,46.6
13,14,127363.0,47.6
10,14,127637.0,108.6
12,14,127676.0,39.6
3,14,127878.0,39.6
8,14,128244.0,33.6
15,14,128962.0,38.6
7,15,129143.0,48.6
9,14,129146.0,50.2
16,15,129312.0,45.6
14,14,129511.0,48.6
2,14,129666.0,51.6
6,15,129674.0,37.6
11,15,130079.0,48.2
4,15,131401.0,67.6
13,15,131716.0,19.6
12,15,131791.0,54.6
3,15,132029.0,71.6
10,15,132311.0,42.2
5,15,132354.0,29.6
8,15,132462.0,38.6
16,16,133318.0,52.6
9,15,133680.0,51.6
14,15,134350.0,79.6
6,16,134618.0,59.6
11,16,134765.0,71.2
15,15,134789.0,51.8
7,16,134952.0,67.6
2,15,134976.0,29.6
12,16,135845.0,44.2
13,16,135936.0,65.6
3,16,136075.0,45.6
10,16,136676.0,65.6
4,16,137088.0,44.6
5,16,137692.0,73.6
8,16,137944.0,33.6
16,17,138495.0,66.6
2,16,139033.0,79.6
9,16,139192.0,50.2
14,16,139715.0,65.6
11,17,139789.0,27.6
3,17,140082.0,72.6
15,16,140142.0,72.6
6,17,140207.0,60.6
13,17,140730.0,46.6
7,17,140886.0,47.6
4,17,141119.0,56.6
12,17,141746.0,30.6
10,17,141988.0,65.6
16,18,142847.0,60.6
8,17,142900.0,50.6
5,17,143542.0,56.6
9,17,143868.0,62.6
14,17,144091.0,68.6
2,17,144453.0,73.6
15,17,144488.0,53.6
6,18,144821.0,55.6
4,18,145228.0,58.6
11,18,145374.0,39.6
3,18,145703.0,37.6
12,18,145876.0,49.6
7,18,146575.0,108.6
13,18,146607.0,29.6
16,19,146963.0,71.6
8,18,146988.0,55.6
10,18,147309.0,86.6
5,18,148009.0,38.6
2,18,148909.0,44.6
6,19,149575.0,53.6
9,18,149744.0,47.6
14,18,149810.0,53.6
12,19,149888.0,42.6
15,18,150042.0,54.6
4,19,150407.0,43.6
7,19,150871.0,62.6
11,19,151098.0,39.6
16,20,151294.0,54.6
3,19,151410.0,46.6
10,19,151531.0,78.6
8,19,151657.0,55.6
13,19,151675.0,55.6
5,19,152896.0,52.6
14,19,153916.0,69.6
2,19,154314.0,42.6
6,20,154472.0,49.6
9,19,154976.0,73.6
7,20,155095.0,18.6
12,20,155370.0,87.6
11,20,155580.0,57.6
15,19,155754.0,82.6
13,20,155994.0,60.6
8,20,156223.0,13.2
4,20,156256.0,14.6
10,20,156581.0,62.6
16,21,156816.0,34.6
