source_node,packet_id,request_ms,e2e_delay_ms
5,1,31874.449,
8,1,31942.602,263.516
11,1,31968.192,
15,1,32390.093,231.283
3,1,32827.593,174.728
10,1,33624.452,182.059
14,1,33976.031,189.813
2,1,34351.014,197.582
16,1,35061.961,
7,1,35624.474,
13,1,35741.649,
6,1,35749.452,236.573
5,2,36069.764,
8,2,36257.254,218.131
9,1,36382.264,182.634
11,2,36530.714,
15,2,36890.067,166.443
3,2,37851.004,197.263
14,2,38671.318,251.936
10,2,39186.942,157.663
2,2,39468.751,229.725
5,3,40257.265,
8,3,40459.4,278.545
6,2,40462.49,289.576
13,2,40749.471,
11,3,40819.774,
16,2,40913.534,
7,2,40999.462,
9,2,41991.649,230.777
15,3,42280.711,
10,3,43530.711,197.632
3,3,43733.836,175.593
14,3,44335.399,265.057
2,3,44413.524,182.369
6,3,44759.729,195.646
5,4,45155.712,
16,3,45280.692,
11,4,45507.255,
8,4,46054.149,452.486
7,3,46194.764,
13,3,46241.63,
9,3,47132.901,191.229
15,4,47492.005,251.823
3,4,48288.541,167.118
14,4,48491.666,205.469
10,4,48936.978,189.743
5,5,49194.791,
2,4,49452.603,158.424
8,5,50452.577,158.763
16,4,50522.988,
6,4,50593.212,238.66
13,4,51335.426,
11,5,51429.149,
15,5,51827.603,345.768
9,4,53007.274,220.856
3,5,53890.086,212.794
10,5,54116.639,356.655
2,5,54171.327,296.316
14,5,54257.274,
16,5,54593.202,
5,6,54694.764,
8,6,54749.452,220.438
6,5,55077.577,267.339
13,5,56851.004,
11,6,56968.192,
9,5,57686.942,369.196
15,6,57761.326,234.495
3,6,58124.442,173.825
16,6,58647.889,
5,7,58694.754,
14,6,58780.692,353.76
8,7,58874.442,212.991
10,6,59429.13,189.708
2,6,59991.639,165.705
6,6,60655.712,198.601
13,6,61077.577,
15,7,62218.212,205.185
11,7,62593.221,
16,7,62733.836,
3,7,63022.899,205.358
9,6,63335.399,205.984
5,8,63515.087,
10,7,64186.972,294.135
14,7,64241.658,239.449
8,8,64608.847,249.039
2,7,64671.337,182.41
15,8,66421.327,158.692
6,7,66530.711,174.063
13,7,66788.524,
11,8,67397.889,
3,8,67976.014,181.828
5,9,68085.389,
16,8,68202.577,
9,7,68679.139,216.508
10,8,68811.952,173.919
14,8,69327.577,189.544
2,8,70147.889,174.145
8,9,70405.702,197.214
15,9,70804.139,189.477
11,9,71476.014,
13,8,71686.952,
6,8,72491.639,181.473
9,8,72686.952,182.485
16,9,73093.202,
5,10,73234.032,
10,9,73468.202,197.143
14,9,73710.389,251.831
3,9,73710.389,232.367
8,10,74905.907,243.814
15,10,75038.72,228.29
2,9,75327.577,158.294
13,9,76444.754,
11,10,77361.14,
3,10,77753.68,170.231
10,10,77882.47,248.213
16,10,77890.285,
9,9,77960.379,666.0
6,9,78351.004,260.123
5,11,78671.522,
14,10,79304.335,165.913
2,10,79476.22,189.301
15,11,79687.147,189.313
8,11,80124.647,204.834
13,10,82420.506,
10,11,82420.518,299.765
3,11,82460.621,
11,11,82538.746,
16,11,82835.631,
6,10,83218.434,195.136
9,10,83421.559,181.507
14,11,83607.22,248.887
5,12,84093.434,
2,11,84327.809,251.912
15,12,84507.496,237.25
8,12,85734.042,165.991
3,12,86882.477,220.98
13,11,87187.165,
6,11,87749.657,159.347
10,12,88116.845,302.717
16,12,88155.907,
5,13,88241.835,
11,12,88456.157,
9,11,88648.104,235.024
15,13,88671.522,228.679
14,12,89530.907,158.416
2,12,90288.72,189.51
8,13,90741.855,181.616
13,12,91913.72,
3,13,92757.479,283.152
5,14,92765.282,
10,13,92974.693,312.127
11,13,92976.122,
6,12,93015.282,276.253
16,13,93984.032,
15,14,94210.604,173.974
9,12,94484.032,263.483
14,13,94538.72,204.439
2,13,95601.22,189.509
8,14,96366.835,158.361
3,14,96960.595,173.528
11,14,97562.167,
13,13,97655.917,
10,14,97898.085,198.152
16,14,98491.845,
14,14,98663.729,283.044
5,15,98734.032,
6,13,98968.417,196.859
9,13,99624.657,181.457
15,15,100202.782,173.608
2,14,101046.542,158.335
8,15,101655.917,220.368
3,15,101890.292,196.956
10,15,102109.042,190.225
13,14,103148.104,
14,15,103280.907,299.791
16,15,103304.345,
11,15,103382.479,
5,16,103944.979,
6,14,104398.095,157.877
9,14,104523.109,212.692
2,15,105960.585,290.873
15,16,105968.407,236.222
3,16,106898.085,189.234
10,16,107234.022,248.515
16,16,107335.585,
8,16,107601.21,345.458
14,16,107609.022,331.829
13,15,107624.647,
11,16,107859.022,
5,17,108015.272,
9,15,108569.96,212.645
6,15,109335.585,189.068
3,17,111304.345,204.778
8,17,111765.282,181.315
15,17,111866.845,464.987
2,16,111866.845,478.289
13,16,111960.595,
5,18,112077.782,
11,17,112116.845,
14,17,112390.282,212.666
