source_node,packet_id,request_ms,e2e_delay_ms
12,1,31561.956,
11,1,31616.616,
8,1,31616.633,91.603
3,1,31811.946,41.792
15,1,32007.258,75.836
2,1,32960.376,146.265
6,1,34101.014,66.157
7,1,34726.021,
10,1,35101.001,34.842
9,1,35108.814,107.163
8,2,35804.126,67.536
14,1,36046.314,34.433
15,2,36179.126,122.361
5,1,36186.949,
3,2,36366.626,42.26
12,2,36663.501,
11,2,36718.199,
2,2,37874.439,59.861
6,2,39327.591,90.769
10,2,39413.919,129.756
7,2,40007.298,
9,2,40498.431,45.679
14,2,40772.923,99.482
5,2,40976.048,
11,3,41147.933,
8,3,41405.735,83.615
15,3,41608.86,99.375
3,3,41843.235,60.264
2,3,42124.458,64.705
12,3,42351.047,
7,3,44202.6,
6,3,44921.333,107.103
9,3,45030.711,73.334
10,3,45124.458,73.457
15,4,45811.949,165.736
11,4,45835.377,
8,4,45913.514,60.062
3,4,46077.574,52.217
14,3,46286.786,222.544
12,4,46710.413,
5,3,46741.663,
2,4,47447.943,135.008
7,4,49249.475,
6,4,49546.351,52.036
15,5,49999.449,41.939
11,5,50452.574,
9,4,50452.574,60.005
10,4,50671.361,84.817
14,4,50882.271,106.93
12,5,51179.163,
3,5,51249.459,75.643
8,5,51546.333,98.976
2,5,51866.646,67.583
5,4,52336.771,
7,5,53452.574,
15,6,54336.76,50.523
6,5,54897.886,83.04
14,5,55015.064,36.281
10,5,55296.314,76.198
11,6,55515.074,
12,6,55679.126,
2,6,56015.074,75.334
9,5,56124.449,34.574
8,6,56226.011,83.015
3,6,56741.626,44.023
5,5,56882.251,
7,6,58280.689,
15,7,59702.564,52.191
6,6,60194.761,36.301
14,6,60327.574,59.922
11,7,60530.699,
2,7,60866.636,60.065
10,6,60913.521,145.993
8,7,61405.718,59.903
12,7,61663.531,
5,6,61905.709,
9,6,61921.334,114.818
3,7,62210.396,26.748
7,7,62515.093,
14,7,64491.646,29.197
6,7,64780.709,68.086
15,8,65179.156,34.176
11,8,65336.778,
5,7,66108.824,
2,8,66186.958,60.308
3,8,66319.761,83.602
9,7,66507.261,36.794
8,8,66546.324,91.462
10,7,66757.271,50.525
12,8,66772.886,
7,8,67710.386,
15,9,69382.273,106.572
14,8,69577.583,82.084
11,9,69601.001,
6,8,69741.636,28.286
2,9,70382.252,51.906
12,9,71327.574,
5,8,71546.324,
3,9,71671.324,75.263
8,9,72155.699,83.016
9,8,72241.636,34.575
10,8,72265.074,102.654
7,9,72483.824,
15,10,74609.029,90.896
14,9,75007.261,26.449
11,10,75296.529,
6,9,75336.761,97.222
2,10,75694.967,83.083
3,10,75874.644,67.355
12,10,76452.769,
10,9,76663.501,106.594
8,10,76718.395,82.95
5,9,76968.189,
7,10,77194.957,
9,9,78077.564,59.673
15,11,79336.955,89.533
14,10,79788.707,44.031
11,11,80265.269,
12,11,80905.904,
6,10,81038.717,75.072
2,11,81140.279,51.833
3,11,81374.654,106.408
8,11,81812.181,33.388
5,10,81819.994,
10,10,81882.503,98.672
7,11,82288.744,
9,10,83218.431,67.362
14,11,84374.69,83.048
11,12,85148.131,
15,12,85187.154,51.876
3,12,86116.832,75.303
5,11,86226.207,
12,12,86562.171,
2,12,86624.644,59.765
10,11,86687.144,51.952
6,11,86765.269,43.968
8,12,87374.654,25.545
9,11,88155.894,91.049
7,12,88202.769,
14,12,89319.957,67.714
11,13,89624.644,
15,13,90007.457,75.458
3,13,90241.832,44.121
5,12,90741.861,
2,13,90944.977,67.625
6,12,91368.948,73.307
10,12,91624.654,67.703
12,13,92303.333,
8,13,92663.717,67.711
14,13,93444.967,59.959
7,13,93952.779,
9,12,94124.664,91.317
11,14,94257.503,
15,14,94491.851,75.507
10,13,95749.644,114.52
3,14,96132.486,73.419
12,14,96351.207,
6,13,96421.539,75.198
2,14,96577.769,91.083
5,13,96601.207,
8,14,96991.832,41.249
14,14,98546.529,114.376
15,15,98780.904,65.092
7,14,99015.279,
9,13,99851.217,50.201
11,15,100077.779,
3,15,100554.352,43.966
6,14,100687.164,51.625
5,14,100718.414,
2,15,101187.164,72.616
10,14,101265.289,114.323
12,15,101944.986,
8,15,102124.664,67.306
14,15,103468.404,98.751
15,16,103835.592,67.458
7,15,104007.467,
11,16,104554.342,
3,16,104655.894,34.078
5,15,104780.894,
9,14,105835.601,75.262
6,15,106116.832,28.206
12,16,106202.769,
10,15,106265.269,57.788
2,16,106796.529,83.084
8,16,107421.519,82.951
14,16,108085.582,51.843
11,17,108812.144,
7,16,109546.519,
3,17,109632.457,67.355
5,16,109694.969,
15,17,109827.769,44.031
9,15,110593.404,83.015
12,17,110960.592,
6,16,111054.342,26.794
2,17,111515.279,81.37
10,16,111546.529,54.432
14,17,112413.717,67.458
8,17,113163.717,67.315
3,18,113827.779,28.283
7,17,113952.779,
11,18,114288.717,
5,17,115366.842,
9,16,115593.394,57.884
15,18,115648.102,67.448
2,18,115655.894,75.281
10,17,116038.707,67.468
6,17,116046.519,42.092
12,18,116585.582,
14,18,117194.957,41.735
8,18,117585.582,83.022
7,18,118319.967,
11,19,118382.457,
3,19,118921.519,67.355
