source_node,packet_id,request_ms,e2e_delay_ms
m3-4.paris.iot-lab.info,1,60966.993,176.813
m3-12.paris.iot-lab.info,1,60971.78,112.6
m3-2.paris.iot-lab.info,1,61063.713,96.115
m3-6.paris.iot-lab.info,1,61302.861,128.21
m3-9.paris.iot-lab.info,1,61407.346,127.653
m3-16.paris.iot-lab.info,1,62155.471,48.974
m3-18.paris.iot-lab.info,1,62377.125,144.403
m3-7.paris.iot-lab.info,1,62384.193,111.665
m3-8.paris.iot-lab.info,1,62595.645,128.729
m3-15.paris.iot-lab.info,1,63464.519,96.461
m3-13.paris.iot-lab.info,1,63948.242,80.83
m3-10.paris.iot-lab.info,1,64077.307,96.236
m3-5.paris.iot-lab.info,1,64199.039,143.883
m3-3.paris.iot-lab.info,1,64201.051,111.407
m3-11.paris.iot-lab.info,1,65117.568,49.054
m3-2.paris.iot-lab.info,2,65431.15,143.727
m3-4.paris.iot-lab.info,2,65446.55,161.063
m3-16.paris.iot-lab.info,2,66443.196,128.464
m3-9.paris.iot-lab.info,2,66718.997,144.244
m3-6.paris.iot-lab.info,2,66806.408,208.119
m3-18.paris.iot-lab.info,2,66808.723,176.911
m3-12.paris.iot-lab.info,2,66811.436,48.755
m3-7.paris.iot-lab.info,2,67183.896,48.603
m3-8.paris.iot-lab.info,2,67315.33,112.782
m3-15.paris.iot-lab.info,2,67848.333,65.074
m3-10.paris.iot-lab.info,2,68332.858,144.869
m3-5.paris.iot-lab.info,2,68406.658,65.0
m3-13.paris.iot-lab.info,2,69307.96,79.675
m3-3.paris.iot-lab.info,2,69607.094,65.078
m3-11.paris.iot-lab.info,2,70797.179,144.339
m3-16.paris.iot-lab.info,3,70970.834,80.408
m3-18.paris.iot-lab.info,3,71112.467,111.646
m3-9.paris.iot-lab.info,3,71214.533,112.673
m3-4.paris.iot-lab.info,3,71222.154,192.863
m3-2.paris.iot-lab.info,3,71304.307,240.003
m3-6.paris.iot-lab.info,3,71429.982,112.354
m3-8.paris.iot-lab.info,3,71667.014,95.989
m3-12.paris.iot-lab.info,3,72091.077,111.939
m3-7.paris.iot-lab.info,3,72815.501,79.703
m3-10.paris.iot-lab.info,3,72908.789,80.862
m3-15.paris.iot-lab.info,3,73400.061,95.684
m3-5.paris.iot-lab.info,3,73526.189,96.81
m3-3.paris.iot-lab.info,3,74022.691,48.771
m3-13.paris.iot-lab.info,3,74683.618,48.848
m3-4.paris.iot-lab.info,4,75638.017,208.723
m3-9.paris.iot-lab.info,4,75678.37,
m3-2.paris.iot-lab.info,4,75686.315,97.385
m3-18.paris.iot-lab.info,4,75784.251,111.543
m3-8.paris.iot-lab.info,4,75922.849,96.248
m3-16.paris.iot-lab.info,4,76090.556,129.576
m3-11.paris.iot-lab.info,3,76204.679,129.234
m3-6.paris.iot-lab.info,4,76645.692,79.762
m3-7.paris.iot-lab.info,4,77311.105,64.879
m3-5.paris.iot-lab.info,4,77605.916,97.074
m3-12.paris.iot-lab.info,4,77690.582,111.683
m3-3.paris.iot-lab.info,4,78278.353,160.798
m3-10.paris.iot-lab.info,4,78348.539,80.619
m3-15.paris.iot-lab.info,4,78423.613,96.738
m3-13.paris.iot-lab.info,4,79003.364,111.585
m3-4.paris.iot-lab.info,5,79669.639,65.008
m3-8.paris.iot-lab.info,5,80050.547,80.402
m3-18.paris.iot-lab.info,5,80919.829,112.143
m3-16.paris.iot-lab.info,5,81306.303,79.639
m3-7.paris.iot-lab.info,5,81326.82,144.002
m3-9.paris.iot-lab.info,5,81453.973,144.572
m3-2.paris.iot-lab.info,5,81622.113,112.038
m3-11.paris.iot-lab.info,4,81772.387,113.007
m3-6.paris.iot-lab.info,5,82165.366,48.857
m3-5.paris.iot-lab.info,5,82277.523,112.473
m3-12.paris.iot-lab.info,5,83162.322,80.921
m3-15.paris.iot-lab.info,5,83655.373,80.64
m3-4.paris.iot-lab.info,6,83765.19,128.032
m3-3.paris.iot-lab.info,5,83862.022,143.687
m3-10.paris.iot-lab.info,5,84332.083,96.789
m3-13.paris.iot-lab.info,5,84938.959,96.207
m3-8.paris.iot-lab.info,6,85297.991,80.324
m3-2.paris.iot-lab.info,6,86277.891,127.576
m3-9.paris.iot-lab.info,6,86429.579,96.783
m3-5.paris.iot-lab.info,6,86469.019,112.397
m3-16.paris.iot-lab.info,6,86521.72,143.825
m3-18.paris.iot-lab.info,6,86568.306,126.863
m3-7.paris.iot-lab.info,6,86574.488,176.271
m3-6.paris.iot-lab.info,6,86853.199,96.352
m3-11.paris.iot-lab.info,5,87067.951,64.793
m3-15.paris.iot-lab.info,6,87798.898,112.741
m3-12.paris.iot-lab.info,6,87801.789,80.404
m3-4.paris.iot-lab.info,7,87861.012,112.746
m3-3.paris.iot-lab.info,6,88181.626,96.909
m3-10.paris.iot-lab.info,6,88459.52,95.965
m3-13.paris.iot-lab.info,6,89162.674,111.972
m3-8.paris.iot-lab.info,7,89633.839,111.709
m3-16.paris.iot-lab.info,7,90537.595,144.907
m3-2.paris.iot-lab.info,7,90581.541,112.892
m3-5.paris.iot-lab.info,7,90996.869,112.548
m3-7.paris.iot-lab.info,7,91150.019,128.953
m3-9.paris.iot-lab.info,7,91485.25,97.055
m3-6.paris.iot-lab.info,7,91668.884,97.068
m3-11.paris.iot-lab.info,6,91931.653,97.018
m3-18.paris.iot-lab.info,7,91975.56,80.788
m3-4.paris.iot-lab.info,8,92420.683,65.111
m3-15.paris.iot-lab.info,7,92630.492,112.849
m3-12.paris.iot-lab.info,7,93017.528,80.526
m3-10.paris.iot-lab.info,7,93515.39,159.787
m3-3.paris.iot-lab.info,7,93797.464,129.1
m3-13.paris.iot-lab.info,7,94634.261,96.376
m3-8.paris.iot-lab.info,8,94673.548,112.757
m3-6.paris.iot-lab.info,8,95716.563,64.329
m3-16.paris.iot-lab.info,8,95753.368,129.037
m3-9.paris.iot-lab.info,8,96124.997,97.127
m3-11.paris.iot-lab.info,7,96315.332,96.667
m3-5.paris.iot-lab.info,8,96500.528,143.895
m3-2.paris.iot-lab.info,8,96517.131,112.952
m3-7.paris.iot-lab.info,8,96637.696,48.686
m3-15.paris.iot-lab.info,8,96870.278,95.765
m3-18.paris.iot-lab.info,8,97046.903,48.721
m3-12.paris.iot-lab.info,8,97993.256,128.187
m3-4.paris.iot-lab.info,9,98004.28,128.091
m3-3.paris.iot-lab.info,8,98709.036,112.532
m3-10.paris.iot-lab.info,8,98890.963,112.344
m3-8.paris.iot-lab.info,9,99233.148,160.879
m3-13.paris.iot-lab.info,8,99305.919,96.71
m3-16.paris.iot-lab.info,9,99977.241,112.21
m3-9.paris.iot-lab.info,9,100396.68,128.726
m3-2.paris.iot-lab.info,9,100596.778,127.863
m3-6.paris.iot-lab.info,9,100820.078,112.353
m3-15.paris.iot-lab.info,9,100902.022,111.94
m3-18.paris.iot-lab.info,9,101606.314,128.858
m3-5.paris.iot-lab.info,9,101635.68,96.755
m3-11.paris.iot-lab.info,8,102139.022,112.865
m3-7.paris.iot-lab.info,9,102141.343,95.949
m3-3.paris.iot-lab.info,9,102788.684,97.197
m3-4.paris.iot-lab.info,10,102979.809,97.203
m3-12.paris.iot-lab.info,9,103736.714,112.815
m3-8.paris.iot-lab.info,10,104304.859,144.76
m3-13.paris.iot-lab.info,9,104345.543,80.894
m3-10.paris.iot-lab.info,9,104442.59,112.238
m3-2.paris.iot-lab.info,10,105268.603,95.909
m3-9.paris.iot-lab.info,10,105356.071,128.135
m3-16.paris.iot-lab.info,10,105496.72,112.838
m3-15.paris.iot-lab.info,10,105701.451,143.82
m3-18.paris.iot-lab.info,10,105798.176,112.419
m3-7.paris.iot-lab.info,10,106301.103,143.66
m3-6.paris.iot-lab.info,10,106563.779,96.695
m3-5.paris.iot-lab.info,10,107219.527,96.932
m3-11.paris.iot-lab.info,9,107802.697,128.285
m3-3.paris.iot-lab.info,10,108452.386,64.37
m3-12.paris.iot-lab.info,10,108680.873,159.876
m3-10.paris.iot-lab.info,10,108714.412,79.784
m3-4.paris.iot-lab.info,11,108803.193,128.626
m3-13.paris.iot-lab.info,10,108857.207,129.033
m3-2.paris.iot-lab.info,11,109636.263,97.124
m3-8.paris.iot-lab.info,11,110144.506,144.913
m3-9.paris.iot-lab.info,11,110156.12,97.14
m3-18.paris.iot-lab.info,11,110277.902,127.753
m3-15.paris.iot-lab.info,11,110677.244,64.253
m3-7.paris.iot-lab.info,11,110940.742,81.125
m3-16.paris.iot-lab.info,11,111288.292,129.117
m3-6.paris.iot-lab.info,11,112003.474,80.216
m3-5.paris.iot-lab.info,11,112659.144,175.702
m3-11.paris.iot-lab.info,10,113050.366,112.038
m3-10.paris.iot-lab.info,11,113242.269,81.043
m3-4.paris.iot-lab.info,12,113554.977,48.86
m3-12.paris.iot-lab.info,11,113672.027,111.972
m3-13.paris.iot-lab.info,11,113688.804,96.245
m3-3.paris.iot-lab.info,11,114244.031,208.272
m3-2.paris.iot-lab.info,12,114291.842,64.825
m3-18.paris.iot-lab.info,12,114789.249,112.881
m3-8.paris.iot-lab.info,12,114928.122,112.742
m3-9.paris.iot-lab.info,12,115547.57,127.704
m3-16.paris.iot-lab.info,12,115975.818,79.797
m3-15.paris.iot-lab.info,12,115988.498,112.82
m3-7.paris.iot-lab.info,12,116316.562,112.562
m3-6.paris.iot-lab.info,12,117123.153,128.965
m3-11.paris.iot-lab.info,11,117626.073,79.648
m3-13.paris.iot-lab.info,12,117896.696,80.698
m3-12.paris.iot-lab.info,12,118055.7,112.765
m3-10.paris.iot-lab.info,12,118201.854,112.663
m3-5.paris.iot-lab.info,12,118402.679,96.787
m3-2.paris.iot-lab.info,13,118867.786,97.254
m3-4.paris.iot-lab.info,13,119170.496,96.671
m3-18.paris.iot-lab.info,13,119285.227,177.237
m3-3.paris.iot-lab.info,12,119315.542,113.11
m3-8.paris.iot-lab.info,13,119343.85,
m3-15.paris.iot-lab.info,13,120260.551,112.422
m3-16.paris.iot-lab.info,13,120999.651,97.021
m3-7.paris.iot-lab.info,13,121147.849,97.153
m3-9.paris.iot-lab.info,13,121339.105,112.508
m3-6.paris.iot-lab.info,13,121890.886,64.775
m3-12.paris.iot-lab.info,13,122359.245,81.189
m3-10.paris.iot-lab.info,13,122681.706,160.439
m3-11.paris.iot-lab.info,12,123113.622,64.861
m3-18.paris.iot-lab.info,14,123445.02,48.978
m3-13.paris.iot-lab.info,13,123592.314,48.401
m3-8.paris.iot-lab.info,14,123679.625,97.05
m3-5.paris.iot-lab.info,13,124338.319,64.123
m3-4.paris.iot-lab.info,14,124466.186,97.055
m3-2.paris.iot-lab.info,14,124643.301,144.68
m3-3.paris.iot-lab.info,13,125251.302,80.503
m3-7.paris.iot-lab.info,14,125371.658,64.774
m3-15.paris.iot-lab.info,14,125460.156,144.285
m3-9.paris.iot-lab.info,14,125610.956,128.524
m3-6.paris.iot-lab.info,14,126082.469,65.073
m3-16.paris.iot-lab.info,14,126823.307,96.58
m3-12.paris.iot-lab.info,14,127318.998,144.042
m3-10.paris.iot-lab.info,14,127593.308,128.485
m3-8.paris.iot-lab.info,15,127839.312,144.138
m3-18.paris.iot-lab.info,15,127892.864,129.005
m3-13.paris.iot-lab.info,14,128392.04,128.387
m3-2.paris.iot-lab.info,15,128786.897,96.321
m3-11.paris.iot-lab.info,13,128921.321,128.979
m3-5.paris.iot-lab.info,14,128945.987,161.076
m3-3.paris.iot-lab.info,14,129378.968,95.757
m3-15.paris.iot-lab.info,15,129555.908,160.762
m3-4.paris.iot-lab.info,15,129825.988,96.153
m3-9.paris.iot-lab.info,15,130138.756,145.131
m3-7.paris.iot-lab.info,15,131307.339,128.645
m3-6.paris.iot-lab.info,15,131650.258,80.192
m3-8.paris.iot-lab.info,16,132143.198,80.774
m3-16.paris.iot-lab.info,15,132567.067,96.003
m3-12.paris.iot-lab.info,15,132758.619,80.821
m3-18.paris.iot-lab.info,16,132948.592,144.395
m3-13.paris.iot-lab.info,15,133143.543,128.435
m3-11.paris.iot-lab.info,14,133385.055,96.247
m3-10.paris.iot-lab.info,15,133512.944,96.589
m3-2.paris.iot-lab.info,16,133954.763,128.306
m3-3.paris.iot-lab.info,15,134018.602,160.257
m3-5.paris.iot-lab.info,15,134065.613,111.608
m3-9.paris.iot-lab.info,16,134186.433,128.111
m3-4.paris.iot-lab.info,16,134705.626,112.654
m3-7.paris.iot-lab.info,16,135339.131,65.034
m3-15.paris.iot-lab.info,16,135507.473,97.197
m3-8.paris.iot-lab.info,17,136446.837,96.804
m3-16.paris.iot-lab.info,16,136566.592,129.101
m3-6.paris.iot-lab.info,16,137345.9,96.199
m3-18.paris.iot-lab.info,17,137444.366,80.025
m3-12.paris.iot-lab.info,16,137526.338,48.131
m3-2.paris.iot-lab.info,17,138034.535,79.835
m3-11.paris.iot-lab.info,15,138088.573,95.819
m3-13.paris.iot-lab.info,16,138263.215,80.096
m3-3.paris.iot-lab.info,16,138722.33,112.728
m3-4.paris.iot-lab.info,17,138961.161,160.338
m3-10.paris.iot-lab.info,16,139016.601,96.08
m3-9.paris.iot-lab.info,17,139802.133,144.859
m3-5.paris.iot-lab.info,16,139921.226,145.053
m3-7.paris.iot-lab.info,17,140698.77,112.263
m3-15.paris.iot-lab.info,17,140723.101,112.592
m3-16.paris.iot-lab.info,17,141270.486,112.782
m3-18.paris.iot-lab.info,18,141972.077,97.036
m3-8.paris.iot-lab.info,18,141982.498,64.954
m3-11.paris.iot-lab.info,16,142616.358,96.404
m3-6.paris.iot-lab.info,17,142625.52,224.776
m3-13.paris.iot-lab.info,17,142663.141,111.785
m3-2.paris.iot-lab.info,18,142801.936,97.073
m3-12.paris.iot-lab.info,17,143078.025,80.997
m3-4.paris.iot-lab.info,18,143184.875,96.326
m3-10.paris.iot-lab.info,17,143432.332,81.247
m3-3.paris.iot-lab.info,17,144081.917,64.952
m3-5.paris.iot-lab.info,17,144192.694,128.483
m3-9.paris.iot-lab.info,18,145098.024,64.253
m3-15.paris.iot-lab.info,18,145890.818,113.049
m3-7.paris.iot-lab.info,18,146058.331,97.101
m3-16.paris.iot-lab.info,18,146118.046,127.74
m3-8.paris.iot-lab.info,19,146702.157,79.652
m3-18.paris.iot-lab.info,19,146979.655,112.686
m3-6.paris.iot-lab.info,18,147089.311,95.907
m3-4.paris.iot-lab.info,19,147632.722,96.694
m3-2.paris.iot-lab.info,19,147681.49,65.378
m3-11.paris.iot-lab.info,17,147831.903,145.376
m3-12.paris.iot-lab.info,18,147973.491,145.128
m3-10.paris.iot-lab.info,18,148056.041,113.114
m3-13.paris.iot-lab.info,18,148470.779,112.928
m3-3.paris.iot-lab.info,18,149313.684,128.787
m3-5.paris.iot-lab.info,18,149728.39,127.609
m3-15.paris.iot-lab.info,19,150578.454,97.142
m3-9.paris.iot-lab.info,19,150809.219,97.173
m3-6.paris.iot-lab.info,19,151216.762,176.514
m3-7.paris.iot-lab.info,19,151257.903,80.218
m3-16.paris.iot-lab.info,19,151845.952,96.602
