source_node,packet_id,request_ms,e2e_delay_ms
m3-2.paris.iot-lab.info,1,60536.505,127.659
m3-9.paris.iot-lab.info,1,60715.01,128.163
m3-6.paris.iot-lab.info,1,61075.962,95.827
m3-4.paris.iot-lab.info,1,61269.482,95.653
m3-3.paris.iot-lab.info,1,61637.464,127.785
m3-10.paris.iot-lab.info,1,61822.18,79.869
m3-12.paris.iot-lab.info,1,62521.037,127.691
m3-15.paris.iot-lab.info,1,62568.12,127.767
m3-11.paris.iot-lab.info,1,63197.84,111.681
m3-13.paris.iot-lab.info,1,63946.613,127.608
m3-8.paris.iot-lab.info,1,63969.527,95.631
m3-16.paris.iot-lab.info,1,64904.579,79.567
m3-5.paris.iot-lab.info,1,65091.693,79.568
m3-7.paris.iot-lab.info,1,65170.951,111.723
m3-18.paris.iot-lab.info,1,65193.508,111.76
m3-2.paris.iot-lab.info,2,65239.99,95.795
m3-4.paris.iot-lab.info,2,65301.152,111.842
m3-9.paris.iot-lab.info,2,65690.931,111.684
m3-6.paris.iot-lab.info,2,65859.727,127.672
m3-3.paris.iot-lab.info,2,66629.241,127.667
m3-15.paris.iot-lab.info,2,66727.867,95.802
m3-11.paris.iot-lab.info,2,67309.866,79.577
m3-10.paris.iot-lab.info,2,67357.843,127.778
m3-12.paris.iot-lab.info,2,67704.63,143.888
m3-8.paris.iot-lab.info,2,68513.35,79.709
m3-13.paris.iot-lab.info,2,69290.225,95.569
m3-5.paris.iot-lab.info,2,69443.118,79.98
m3-7.paris.iot-lab.info,2,69602.543,111.849
m3-16.paris.iot-lab.info,2,69880.157,95.796
m3-18.paris.iot-lab.info,2,70008.95,79.99
m3-4.paris.iot-lab.info,3,70964.855,79.617
m3-2.paris.iot-lab.info,3,70983.738,111.845
m3-6.paris.iot-lab.info,3,71155.29,111.785
m3-15.paris.iot-lab.info,3,71271.466,95.76
m3-9.paris.iot-lab.info,3,71386.457,79.633
m3-10.paris.iot-lab.info,3,71453.384,127.986
m3-3.paris.iot-lab.info,3,71540.443,80.02
m3-11.paris.iot-lab.info,3,72141.514,95.555
m3-8.paris.iot-lab.info,3,72529.019,79.57
m3-12.paris.iot-lab.info,3,72568.273,95.711
m3-5.paris.iot-lab.info,3,73811.112,127.816
m3-16.paris.iot-lab.info,3,74087.907,95.694
m3-7.paris.iot-lab.info,3,74226.273,79.771
m3-13.paris.iot-lab.info,3,74681.778,95.506
m3-2.paris.iot-lab.info,4,75431.505,111.645
m3-6.paris.iot-lab.info,4,75506.871,79.817
m3-3.paris.iot-lab.info,4,75620.172,80.031
m3-9.paris.iot-lab.info,4,75642.18,79.828
m3-10.paris.iot-lab.info,4,75725.187,111.811
m3-18.paris.iot-lab.info,3,75800.824,111.763
m3-4.paris.iot-lab.info,4,76580.362,95.697
m3-15.paris.iot-lab.info,4,76823.057,111.905
m3-11.paris.iot-lab.info,4,77581.213,111.577
m3-12.paris.iot-lab.info,4,78072.131,127.601
m3-8.paris.iot-lab.info,4,78112.454,95.767
m3-13.paris.iot-lab.info,4,79001.531,95.673
m3-7.paris.iot-lab.info,4,79490.071,95.606
m3-5.paris.iot-lab.info,4,79746.664,79.604
m3-16.paris.iot-lab.info,4,80055.453,127.662
m3-6.paris.iot-lab.info,5,80162.689,111.806
m3-18.paris.iot-lab.info,4,80344.348,127.947
m3-3.paris.iot-lab.info,5,80452.046,127.893
m3-9.paris.iot-lab.info,5,80874.036,95.777
m3-2.paris.iot-lab.info,5,81271.068,111.636
m3-4.paris.iot-lab.info,5,81491.965,111.784
m3-10.paris.iot-lab.info,5,81500.88,79.761
m3-11.paris.iot-lab.info,5,81660.636,127.709
m3-15.paris.iot-lab.info,5,81782.658,128.035
m3-12.paris.iot-lab.info,5,83911.661,143.662
m3-8.paris.iot-lab.info,5,84032.152,95.846
m3-5.paris.iot-lab.info,5,84274.157,79.808
m3-7.paris.iot-lab.info,5,84305.574,79.811
m3-16.paris.iot-lab.info,5,84871.209,111.708
m3-13.paris.iot-lab.info,5,84920.959,79.825
m3-6.paris.iot-lab.info,6,85810.203,127.889
m3-11.paris.iot-lab.info,6,85948.384,127.936
m3-3.paris.iot-lab.info,6,86115.746,127.85
m3-9.paris.iot-lab.info,6,86169.555,79.824
m3-2.paris.iot-lab.info,6,86198.54,79.869
m3-18.paris.iot-lab.info,5,86280.085,127.833
m3-4.paris.iot-lab.info,6,86371.58,95.756
m3-10.paris.iot-lab.info,6,86380.447,111.833
