source_node,packet_id,request_ms,e2e_delay_ms
nrf52840dk-3.saclay.iot-lab.info,1,59741.489,201.991
nrf52840dk-9.saclay.iot-lab.info,1,59958.163,389.833
nrf52840dk-7.saclay.iot-lab.info,1,60564.553,198.941
nrf52840dk-8.saclay.iot-lab.info,1,61126.389,193.86
nrf52840dk-2.saclay.iot-lab.info,1,62133.36,223.943
nrf52840dk-5.saclay.iot-lab.info,1,62594.847,239.278
nrf52840dk-10.saclay.iot-lab.info,1,63555.712,316.812
nrf52840dk-4.saclay.iot-lab.info,1,63577.993,310.777
nrf52840dk-3.saclay.iot-lab.info,2,63874.698,396.726
nrf52840dk-6.saclay.iot-lab.info,1,63923.048,278.217
nrf52840dk-8.saclay.iot-lab.info,2,65462.401,214.644
nrf52840dk-9.saclay.iot-lab.info,2,65631.051,317.71
nrf52840dk-7.saclay.iot-lab.info,2,66105.07,189.59
nrf52840dk-5.saclay.iot-lab.info,2,67405.197,374.114
nrf52840dk-2.saclay.iot-lab.info,2,67468.677,239.853
nrf52840dk-4.saclay.iot-lab.info,2,67674.361,216.171
nrf52840dk-10.saclay.iot-lab.info,2,68477.891,183.773
nrf52840dk-6.saclay.iot-lab.info,2,69157.755,332.582
nrf52840dk-3.saclay.iot-lab.info,3,69178.688,281.987
nrf52840dk-8.saclay.iot-lab.info,3,70031.315,225.382
nrf52840dk-7.saclay.iot-lab.info,3,70511.658,197.598
nrf52840dk-9.saclay.iot-lab.info,3,70686.86,356.004
nrf52840dk-5.saclay.iot-lab.info,3,71810.516,397.83
nrf52840dk-4.saclay.iot-lab.info,3,71852.028,286.918
nrf52840dk-2.saclay.iot-lab.info,3,72921.924,216.869
nrf52840dk-3.saclay.iot-lab.info,4,73204.176,231.601
nrf52840dk-10.saclay.iot-lab.info,3,73737.271,291.504
nrf52840dk-6.saclay.iot-lab.info,3,74002.044,206.462
nrf52840dk-8.saclay.iot-lab.info,4,74141.524,207.672
nrf52840dk-9.saclay.iot-lab.info,4,76131.44,481.66
nrf52840dk-7.saclay.iot-lab.info,4,76214.484,284.671
nrf52840dk-5.saclay.iot-lab.info,4,77201.671,205.202
nrf52840dk-4.saclay.iot-lab.info,4,77276.417,276.62
nrf52840dk-2.saclay.iot-lab.info,4,77453.111,232.611
nrf52840dk-3.saclay.iot-lab.info,5,78164.663,214.218
nrf52840dk-6.saclay.iot-lab.info,4,78399.169,309.471
nrf52840dk-8.saclay.iot-lab.info,5,78437.354,263.994
nrf52840dk-10.saclay.iot-lab.info,4,79190.189,256.657
nrf52840dk-9.saclay.iot-lab.info,5,80232.383,326.665
nrf52840dk-5.saclay.iot-lab.info,5,81459.761,405.808
nrf52840dk-2.saclay.iot-lab.info,5,81499.794,318.995
nrf52840dk-7.saclay.iot-lab.info,5,81581.334,
nrf52840dk-4.saclay.iot-lab.info,5,82805.322,346.979
nrf52840dk-6.saclay.iot-lab.info,5,82814.186,246.375
nrf52840dk-3.saclay.iot-lab.info,6,82938.268,216.642
nrf52840dk-8.saclay.iot-lab.info,6,83086.408,201.162
nrf52840dk-10.saclay.iot-lab.info,5,83275.734,231.8
nrf52840dk-9.saclay.iot-lab.info,6,84929.349,395.303
nrf52840dk-7.saclay.iot-lab.info,6,86221.666,213.358
nrf52840dk-5.saclay.iot-lab.info,6,86412.751,225.971
nrf52840dk-2.saclay.iot-lab.info,6,86977.601,201.87
nrf52840dk-4.saclay.iot-lab.info,6,87492.48,274.827
nrf52840dk-3.saclay.iot-lab.info,7,87546.185,319.136
nrf52840dk-8.saclay.iot-lab.info,7,88375.527,177.667
nrf52840dk-6.saclay.iot-lab.info,6,88461.193,202.118
nrf52840dk-10.saclay.iot-lab.info,6,89260.625,219.032
nrf52840dk-9.saclay.iot-lab.info,7,90521.836,458.477
nrf52840dk-7.saclay.iot-lab.info,7,90605.472,306.764
nrf52840dk-2.saclay.iot-lab.info,7,91235.47,259.695
nrf52840dk-5.saclay.iot-lab.info,7,91287.859,233.912
nrf52840dk-3.saclay.iot-lab.info,8,91656.36,224.916
nrf52840dk-4.saclay.iot-lab.info,7,92635.229,223.45
nrf52840dk-8.saclay.iot-lab.info,8,92955.254,215.116
nrf52840dk-6.saclay.iot-lab.info,7,93775.571,207.339
nrf52840dk-10.saclay.iot-lab.info,7,94502.993,182.404
nrf52840dk-9.saclay.iot-lab.info,8,94739.637,373.877
nrf52840dk-7.saclay.iot-lab.info,8,95761.254,208.835
nrf52840dk-5.saclay.iot-lab.info,8,96030.087,219.535
nrf52840dk-2.saclay.iot-lab.info,8,96258.379,255.849
nrf52840dk-3.saclay.iot-lab.info,9,97126.34,177.026
nrf52840dk-8.saclay.iot-lab.info,9,97743.437,193.601
nrf52840dk-4.saclay.iot-lab.info,8,98477.566,215.976
nrf52840dk-6.saclay.iot-lab.info,8,99266.436,231.506
nrf52840dk-9.saclay.iot-lab.info,9,100046.068,473.46
nrf52840dk-10.saclay.iot-lab.info,8,100323.125,323.089
nrf52840dk-7.saclay.iot-lab.info,9,100377.646,245.828
nrf52840dk-2.saclay.iot-lab.info,9,100594.461,249.152
nrf52840dk-5.saclay.iot-lab.info,9,101006.048,195.017
nrf52840dk-3.saclay.iot-lab.info,10,101696.778,301.733
nrf52840dk-8.saclay.iot-lab.info,10,101828.686,173.851
nrf52840dk-4.saclay.iot-lab.info,9,104313.742,216.236
nrf52840dk-6.saclay.iot-lab.info,9,104469.745,184.496
nrf52840dk-10.saclay.iot-lab.info,9,104977.555,238.933
nrf52840dk-7.saclay.iot-lab.info,10,105205.343,215.071
nrf52840dk-9.saclay.iot-lab.info,10,105411.719,702.29
nrf52840dk-5.saclay.iot-lab.info,10,105522.155,543.873
nrf52840dk-2.saclay.iot-lab.info,10,106047.487,
nrf52840dk-8.saclay.iot-lab.info,11,107197.699,363.449
nrf52840dk-3.saclay.iot-lab.info,11,107220.116,254.35
nrf52840dk-9.saclay.iot-lab.info,11,109444.177,536.535
nrf52840dk-7.saclay.iot-lab.info,11,109590.706,
nrf52840dk-6.saclay.iot-lab.info,10,109594.492,316.026
nrf52840dk-4.saclay.iot-lab.info,10,109962.088,317.556
