source_node,packet_id,request_ms,e2e_delay_ms
nrf52840dk-3.saclay.iot-lab.info,1,59693.305,52.21
nrf52840dk-6.saclay.iot-lab.info,1,60036.374,60.052
nrf52840dk-4.saclay.iot-lab.info,1,60233.208,59.779
nrf52840dk-5.saclay.iot-lab.info,1,60751.895,78.725
nrf52840dk-2.saclay.iot-lab.info,1,61049.639,93.094
nrf52840dk-8.saclay.iot-lab.info,1,61240.551,58.549
nrf52840dk-9.saclay.iot-lab.info,1,61340.002,109.617
nrf52840dk-7.saclay.iot-lab.info,1,62286.285,82.899
nrf52840dk-3.saclay.iot-lab.info,2,63824.619,59.7
nrf52840dk-10.saclay.iot-lab.info,1,64307.783,44.953
nrf52840dk-5.saclay.iot-lab.info,2,64923.675,55.776
nrf52840dk-9.saclay.iot-lab.info,2,65558.398,266.239
nrf52840dk-8.saclay.iot-lab.info,2,65576.47,97.945
nrf52840dk-6.saclay.iot-lab.info,2,65794.793,81.938
nrf52840dk-4.saclay.iot-lab.info,2,66076.947,66.056
nrf52840dk-2.saclay.iot-lab.info,2,66506.181,59.36
nrf52840dk-7.saclay.iot-lab.info,2,67880.139,51.752
nrf52840dk-3.saclay.iot-lab.info,3,69130.396,52.011
nrf52840dk-5.saclay.iot-lab.info,3,69173.004,78.666
nrf52840dk-10.saclay.iot-lab.info,2,69697.839,68.959
nrf52840dk-9.saclay.iot-lab.info,3,70010.899,118.928
nrf52840dk-8.saclay.iot-lab.info,3,70147.808,73.403
nrf52840dk-6.saclay.iot-lab.info,3,70912.072,73.712
nrf52840dk-2.saclay.iot-lab.info,3,70917.558,147.647
nrf52840dk-4.saclay.iot-lab.info,3,71911.837,84.963
nrf52840dk-3.saclay.iot-lab.info,4,73154.631,50.877
nrf52840dk-5.saclay.iot-lab.info,4,73242.991,47.733
nrf52840dk-7.saclay.iot-lab.info,3,73404.084,50.655
nrf52840dk-9.saclay.iot-lab.info,4,74144.031,64.916
nrf52840dk-8.saclay.iot-lab.info,4,74255.729,74.672
nrf52840dk-10.saclay.iot-lab.info,3,74285.273,67.652
nrf52840dk-2.saclay.iot-lab.info,4,75448.222,99.826
nrf52840dk-6.saclay.iot-lab.info,4,76905.622,62.211
nrf52840dk-4.saclay.iot-lab.info,4,77562.313,27.787
nrf52840dk-3.saclay.iot-lab.info,5,77708.286,75.851
nrf52840dk-5.saclay.iot-lab.info,5,77797.684,55.556
nrf52840dk-7.saclay.iot-lab.info,4,78146.022,74.215
nrf52840dk-8.saclay.iot-lab.info,5,78553.803,65.411
nrf52840dk-10.saclay.iot-lab.info,4,78612.921,18.671
nrf52840dk-9.saclay.iot-lab.info,5,79198.095,184.994
nrf52840dk-2.saclay.iot-lab.info,5,79495.275,52.906
nrf52840dk-6.saclay.iot-lab.info,5,82185.983,59.244
nrf52840dk-5.saclay.iot-lab.info,6,82477.403,62.164
nrf52840dk-3.saclay.iot-lab.info,6,83059.633,60.272
nrf52840dk-8.saclay.iot-lab.info,6,83200.869,89.96
nrf52840dk-7.saclay.iot-lab.info,5,83254.911,68.369
