source_node,packet_id,request_ms,e2e_delay_ms
client11,1,61470.563,192.973
client6,1,62244.6,404.059
client7,1,62245.614,400.035
client9,1,62249.628,
client15,1,62257.544,
client4,1,62467.562,
client5,1,63109.623,210.358
client3,1,63489.558,189.95
client13,1,63809.572,415.479
client10,1,64477.556,201.791
client2,1,65433.529,265.526
client14,1,65506.59,189.69
client11,2,65877.69,417.374
client8,1,65982.662,634.155
client1,1,65986.651,
client12,1,65995.418,
client7,2,66284.625,
client9,2,66288.607,331.029
client15,2,66296.601,
client6,2,66361.684,
client5,2,67609.677,186.287
client3,2,67770.561,166.357
client4,2,67897.778,172.187
client13,2,68450.678,360.05
client10,2,68657.752,185.476
client11,3,69916.668,184.375
client12,2,70550.69,183.284
client2,2,70839.677,511.251
client1,2,70884.507,275.947
client14,2,70935.756,
client8,2,71380.746,196.827
client7,3,71691.787,343.257
client15,3,71726.653,311.601
client6,3,71736.779,
client3,3,72098.796,174.164
client9,3,72217.754,182.609
client5,3,73039.775,201.813
client10,3,73156.684,209.928
client4,3,73827.742,173.878
client13,3,74333.785,259.14
client12,3,74878.699,190.041
client11,4,75291.769,160.814
client14,3,75490.594,247.203
client8,3,75560.746,174.03
client3,4,76106.739,150.477
client2,3,76268.767,182.545
client15,4,76624.651,218.562
client1,3,76837.536,154.062
client7,4,77120.77,250.29
client6,4,77165.813,202.532
client9,4,77428.807,203.171
client13,4,78395.786,446.541
client5,4,78468.84,317.98
client10,4,78563.936,
client4,4,78725.729,203.072
client8,4,79599.812,196.467
client14,4,79818.807,219.603
client3,5,80481.779,158.351
client11,5,80720.759,169.323
client2,4,80823.613,261.691
client12,4,80831.814,231.699
client1,4,81361.681,265.182
client9,5,81436.803,211.04
client15,5,81835.879,163.509
client5,5,83023.747,366.285
client7,5,83050.794,324.623
client6,5,83095.98,
client13,5,83395.671,274.039
client4,5,83936.585,270.587
client10,5,83992.632,233.173
client8,5,84974.725,166.44
client2,5,85104.554,183.912
client12,5,85354.864,151.229
client9,6,85444.882,195.147
client14,5,85771.922,188.289
client1,5,86017.911,223.61
client11,6,86150.861,199.971
client3,6,86473.843,150.615
client15,6,86561.799,206.153
client5,6,87304.854,155.358
client7,6,87948.904,262.996
client6,6,87993.871,224.147
client10,6,88273.801,163.063
client13,6,89208.857,304.49
client2,6,89432.827,160.236
client4,6,89889.897,187.461
client12,6,90011.903,284.016
client1,6,90024.94,231.916
client14,6,90295.906,156.508
client3,7,90496.969,231.435
client15,7,90569.79,179.351
client11,7,90704.792,274.582
client9,7,90725.834,250.268
client8,6,90903.882,196.93
client5,7,91632.679,202.56
client10,7,92602.831,232.449
client7,7,93159.863,237.925
client6,7,93204.927,200.441
client2,7,93807.866,160.106
client1,7,94524.936,193.096
client13,7,94801.882,594.595
client9,8,94934.917,
client15,8,94944.908,392.514
client14,7,94951.86,
client11,8,94986.939,
client12,7,95292.933,231.544
client3,8,95371.882,169.009
client8,7,95802.97,231.166
client4,7,95882.065,179.689
client5,8,97585.744,194.731
client7,8,97885.886,402.492
client6,8,97931.945,323.613
client10,8,98555.961,205.84
client14,8,98958.937,210.726
client13,8,99145.816,414.714
client11,9,99314.989,199.86
client2,8,99799.629,322.2
client1,8,99805.892,312.828
client9,9,99842.567,
client12,8,100182.992,183.499
client8,8,100528.905,196.883
client4,8,100757.006,344.632
client3,9,100833.011,271.16
client15,9,100937.033,
client7,9,101893.987,150.868
client6,9,101955.075,184.731
client5,9,102241.885,155.765
client11,10,103337.974,223.938
client14,9,103568.739,182.222
client9,10,103975.967,156.199
client8,9,104536.966,231.584
client10,9,104547.968,248.091
client13,9,104724.01,484.905
client12,9,104792.748,456.463
client1,9,104885.004,
client2,9,105080.927,160.556
client3,10,105622.058,166.651
client15,10,105828.077,265.079
client4,9,105835.094,250.095
client5,10,106742.014,170.664
client7,10,106972.112,206.985
client6,10,107236.052,161.676
client11,11,108212.948,169.239
client14,10,108474.983,188.425
client10,10,108570.986,209.631
client9,11,109015.019,156.174
client8,10,109193.086,228.13
client13,10,109318.074,406.216
client12,10,109699.053,206.447
client2,10,109972.075,295.989
client15,11,110039.113,257.186
client3,11,110231.081,213.658
client1,10,110697.127,231.675
client4,10,111647.141,238.869
client6,11,112127.145,258.526
client5,11,112203.059,179.448
client7,11,112784.714,206.793
client11,12,113103.094,249.061
client8,11,113201.041,157.655
client13,11,113653.762,320.391
client14,11,113810.739,305.577
client10,11,113851.802,253.143
client2,11,114182.986,214.713
client9,12,114366.15,195.578
client15,12,114828.036,186.885
client3,12,115137.099,252.833
client12,11,115183.059,245.951
client1,11,115602.789,263.42
client6,12,116338.021,192.161
client5,12,116508.096,270.973
client4,11,116554.038,228.665
client7,12,117691.124,242.672
client8,12,117701.115,229.665
client11,13,118182.161,223.347
client9,13,118413.138,158.863
client10,12,118743.171,193.462
client13,12,118950.147,375.947
client2,12,118972.201,262.977
client14,12,119365.181,196.55
client15,13,119734.15,202.489
client3,13,120473.1,205.912
client12,12,120738.102,167.422
client1,12,121087.174,274.203
client6,13,121127.183,231.443
client5,13,121586.013,202.254
client4,12,121890.283,234.001
client8,13,122982.086,243.75
client7,13,123027.063,318.094
client9,14,123163.064,226.806
client10,13,123821.179,355.331
client14,13,123834.176,232.11
client11,14,123994.205,192.391
client13,13,124091.189,375.415
client2,13,124394.161,191.048
client15,14,125070.175,287.677
client12,13,125206.16,167.931
client5,14,126195.212,217.88
client3,14,126364.162,182.254
client6,14,126547.921,162.233
client1,13,126642.228,169.243
client8,14,127287.093,157.212
client4,13,127444.291,203.292
client14,14,127951.228,165.108
client9,15,128756.114,211.847
client7,14,128917.214,206.934
client2,14,129198.29,279.92
client12,14,129324.102,150.902
client11,15,129416.173,215.869
client10,14,129633.114,217.685
client13,14,129692.198,352.488
client15,15,130960.232,351.44
client3,15,131012.224,261.18
client1,14,131111.21,
client6,15,131353.114,216.429
client5,15,131679.286,202.713
client4,14,131913.365,179.644
client8,15,132365.235,173.026
client14,15,132700.894,165.467
client7,15,133565.192,160.493
client13,15,133911.233,297.524
client12,15,134074.202,206.215
client11,16,134220.18,268.844
client9,16,134334.295,151.233
client2,15,134683.156,214.426
client10,15,135055.443,243.931
client3,16,135129.263,166.887
client15,16,135999.305,195.186
client1,15,136150.291,200.066
client5,16,136328.26,182.27
client4,15,136959.231,269.393
client8,16,136974.143,251.553
client6,16,137244.223,168.838
client7,16,137683.593,159.349
client14,16,137904.218,252.852
client13,16,137950.408,297.197
client11,17,138353.466,192.472
client9,17,139092.415,187.733
client12,16,139424.971,183.402
client2,16,140237.364,511.644
client15,17,140311.28,456.201
client10,16,140391.176,
client5,17,140460.274,
client1,16,140462.095,
client3,17,140863.225,198.318
client4,16,141264.296,195.731
client8,17,141880.319,240.065
client6,17,141892.344,270.738
client7,17,142432.373,207.408
client14,17,143256.399,219.153
client13,17,143325.413,391.017
client11,18,143392.22,255.797
client9,18,144225.347,295.998
client2,17,144370.37,183.223
client1,17,144946.324,216.794
client12,17,145308.392,175.126
client5,18,145499.421,247.453
client15,18,145514.378,236.005
client3,18,145684.388,197.427
client6,18,146025.397,153.391
client10,17,146281.387,201.965
client4,17,146467.256,195.988
client8,18,147216.222,181.324
client11,19,147705.404,184.317
client14,18,147896.408,180.812
client7,18,148167.398,183.142
client13,18,148255.374,367.285
client9,19,148662.411,219.469
client2,18,149409.148,207.117
client5,19,149812.492,170.847
client3,19,150168.394,213.443
client1,18,150438.457,162.157
client15,19,150866.405,271.001
client10,18,150930.398,210.386
client6,19,151064.075,258.625
client12,18,151081.353,238.38
client4,18,151819.492,226.11
client9,20,152881.378,397.024
client11,20,152908.49,366.581
client7,19,152987.526,
client8,19,153107.415,
client14,19,153779.488,180.094
client13,19,154177.499,365.586
client2,19,154229.511,239.953
client5,20,155015.395,318.769
client10,19,155063.458,267.601
client12,19,155128.475,
client6,20,155376.407,348.999
client1,19,155493.507,234.758
client15,20,155506.515,
client3,20,155941.454,190.363
client4,19,156459.478,172.116
client9,21,156920.144,196.068
client8,20,157224.539,180.698
client7,20,157471.563,222.797
client11,21,158259.501,270.68
client13,20,158364.528,336.153
client2,20,158713.518,182.987
client14,20,159552.541,240.204
client1,20,159555.365,263.901
client3,21,159988.587,314.225
client10,20,160102.548,232.433
client5,21,160366.494,226.257
client6,21,160579.549,208.242
client12,20,160940.565,167.904
client15,21,161389.518,203.195
client9,22,161849.51,172.992
client8,21,161974.539,204.118
client4,20,162342.381,187.858
client13,21,162403.543,328.258
client11,22,162900.598,242.578
client7,21,162963.487,176.686
client2,21,164206.551,159.585
client10,21,164414.193,186.313
client1,21,164555.627,158.992
client3,22,164738.338,174.425
client5,22,165007.346,264.333
client12,21,165112.355,198.945
client14,21,165365.385,196.125
client9,23,165928.629,218.838
client6,22,166462.696,176.944
client7,22,167010.715,199.123
client13,22,167028.605,461.182
client15,22,167162.581,224.342
client4,21,167342.649,171.954
client11,23,167650.607,255.039
client8,22,167708.277,204.711
client2,22,169260.649,152.33
client14,22,169537.634,195.657
client10,22,169766.68,185.389
client1,22,170165.615,207.92
client12,22,170276.636,271.348
client3,23,170347.59,206.004
client5,23,170890.634,225.475
client15,23,171209.491,179.741
client13,23,171536.614,314.947
client7,23,171760.616,222.67
client9,24,171915.379,223.848
client6,23,172235.664,195.564
client8,23,172528.666,181.192
client4,22,173154.667,351.955
client11,24,173259.594,239.786
client2,23,173323.688,
client14,23,174701.727,179.974
client10,23,174820.621,232.273
client12,23,174870.688,206.276
client1,23,175758.395,208.909
client7,24,175932.695,239.693
client3,24,175941.605,244.746
client13,24,176192.619,367.263
client6,24,176282.689,257.794
client5,24,176663.689,241.377
client8,24,177012.697,263.804
client15,24,177022.792,296.098
client4,23,177326.528,180.069
client9,25,177849.661,180.565
client2,24,178323.704,158.511
client11,25,178423.7,176.68
client10,24,178883.738,255.134
client14,24,178927.754,219.491
client12,24,179276.819,206.323
client1,24,180102.722,247.54
client7,25,180158.696,199.182
client3,25,180285.626,197.656
client5,25,180710.74,163.148
client6,25,181032.646,169.158
client13,25,181934.708,304.841
client4,24,182490.651,523.843
client8,25,182505.756,387.126
client15,25,182615.611,
client11,26,182649.669,
client14,25,183091.629,157.213
client9,26,183544.855,172.695
client10,25,183883.598,185.621
client2,25,184135.683,191.268
client12,25,184268.78,255.703
client7,26,184322.833,222.838
client5,26,185460.737,182.008
client1,25,185680.78,200.911
client3,26,185863.742,205.113
client13,26,186129.728,336.314
client6,26,186641.65,428.364
client4,25,186717.908,349.201
client15,26,186779.839,
client11,27,186813.791,
client8,26,187559.711,189.115
client9,27,187951.778,195.463
client2,26,188307.782,158.817
client14,26,188505.696,260.003
client12,26,188604.872,190.891
client5,27,189686.715,333.043
client10,26,189695.843,320.669
client7,27,189736.768,
client1,26,190274.793,184.868
client3,27,190456.815,213.798
client4,26,190881.834,163.877
client13,27,191418.565,336.148
client8,27,191622.602,188.613
client15,27,192193.84,359.643
client11,28,192227.829,287.016
client6,27,192235.634,
client14,27,193185.936,150.69
client2,27,193471.896,308.189
client9,28,193599.862,164.425
client12,27,193737.801,159.492
client10,27,193867.685,185.854
client5,28,194280.784,186.69
client7,28,194416.926,175.608
client1,27,194680.853,232.03
client3,28,194863.904,205.198
client13,28,195434.861,320.159
client4,27,196295.769,163.938
client6,28,196579.919,247.428
client8,28,196622.915,234.83
client15,28,196873.86,231.795
client11,29,196907.882,208.084
client14,28,197942.838,180.948
client2,28,198064.948,207.236
client5,29,198686.935,351.938
client9,29,198778.882,263.392
client12,28,198838.821,
client10,28,199031.998,201.017
client7,29,199174.952,166.43
client13,29,199629.933,351.616
client1,28,199672.993,231.856
client3,29,199855.841,205.318
client4,28,200975.045,195.685
client15,29,201631.981,247.219
client11,30,201665.963,239.095
client6,29,202157.862,223.756
client8,29,202434.915,274.18
client2,29,202471.852,234.227
client14,29,202677.889,158.779
client10,29,203257.906,247.924
client12,29,203276.955,232.178
client5,30,203679.017,155.635
client7,30,203908.681,251.18
client1,29,204008.733,193.082
client3,30,204191.95,181.827
client9,30,204302.597,219.565
client13,30,205043.672,383.254
client4,29,205732.87,167.164
client15,30,206380.059,241.415
client11,31,206399.802,262.941
client6,30,206750.995,258.858
client8,30,206778.968,227.883
client10,30,207421.989,240.873
client2,30,207463.944,206.667
client14,30,207809.938,151.484
client5,31,208014.998,179.065
client1,30,208461.854,250.829
client9,31,208520.951,188.309
client7,31,209041.94,190.726
client12,30,209143.927,190.666
client3,31,209323.889,166.888
client13,31,209723.88,312.14
client4,30,210467.875,194.93
client6,31,211157.936,207.851
client15,31,211505.869,240.545
client11,32,211532.637,255.082
client2,31,211800.047,167.126
client8,31,212356.756,277.956
client5,32,212468.018,202.489
client10,31,212835.986,178.207
client14,31,213107.031,211.641
client9,32,213536.937,182.452
client1,31,214328.961,320.612
client7,32,214337.961,340.284
client3,32,214426.074,
client12,31,214816.084,190.477
client13,32,215231.025,327.221
client4,31,215599.905,179.94
client6,32,216150.11,184.431
client2,32,216253.0,206.589
client15,32,216608.091,296.598
client11,33,216633.931,247.571
client8,32,216950.036,197.088
client10,32,217515.778,193.759
client9,33,218239.99,367.918
client14,32,218248.011,
client5,33,218334.924,242.473
client3,33,218862.824,243.502
client12,32,218885.979,217.33
client7,33,219479.144,199.16
client13,33,219950.088,320.186
client1,32,220196.108,216.36
client6,33,220486.076,184.46
client4,32,220702.093,186.898
client15,33,221045.08,289.469
client11,34,221071.777,243.427
client8,33,221357.049,203.71
client2,33,222120.06,191.179
client10,33,222274.145,177.596
client9,34,223107.099,211.898
client12,33,223386.188,198.437
client7,34,223549.174,272.84
client5,34,223632.197,186.802
client14,33,223849.08,151.489
client13,34,224333.108,390.367
client3,34,224730.145,151.592
client4,33,225139.165,211.068
client6,34,225782.153,174.853
client1,33,225867.993,201.024
client8,34,226349.175,172.802
client2,34,226557.139,183.522
client11,35,226673.13,247.937
client10,34,226727.23,216.66
client15,34,226912.059,219.4
client14,34,227888.166,151.506
client7,35,228048.927,222.686
client9,35,228490.174,188.036
client3,35,228769.223,364.377
client5,35,228772.099,382.633
client12,34,228792.068,
client4,34,229209.194,187.851
client13,35,229700.111,265.322
client1,34,229938.215,200.905
client8,35,230685.209,150.934
client6,35,230923.093,182.373
client11,36,231173.168,200.372
client2,35,232159.236,200.874
client15,35,232584.215,261.631
client10,35,232593.937,248.708
client14,35,233263.265,219.634
client7,36,233455.197,184.062
client4,35,233709.238,289.335
client13,36,233716.272,
client3,36,234144.197,245.206
client9,36,234154.292,231.797
client5,36,234374.181,285.495
client1,35,234438.213,224.776
client12,35,234596.944,198.544
client8,36,235138.285,172.574
client2,36,236377.22,152.556
client6,36,236524.234,349.222
client11,37,236579.273,281.968
client15,36,236654.04,
client10,36,237891.268,216.443
client14,36,238193.23,203.732
client5,37,238444.232,210.479
client9,37,238630.299,355.663
client3,37,238730.191,259.021
client12,36,238784.263,
client4,36,239116.292,225.989
client7,37,239260.235,191.33
client13,37,239309.278,374.892
client1,36,239844.223,208.946
client2,37,240415.999,176.218
client6,37,240743.106,154.033
client8,37,241005.274,150.84
client15,37,241154.285,211.323
client11,38,242384.324,176.378
client14,37,242779.334,257.966
client12,37,242823.245,495.457
client5,38,242943.959,344.387
client9,38,242949.941,
client10,37,243031.099,
client13,38,243528.145,515.463
client4,37,243702.291,268.192
client3,38,243761.22,
client1,37,244430.373,216.571
client6,38,244794.307,151.248
client7,38,245182.339,152.115
client2,38,245791.268,183.474
client8,38,246302.337,180.443
client15,38,246560.268,206.355
client14,38,247810.346,203.78
client3,39,247949.034,197.867
client9,39,248216.373,344.258
client11,39,248306.479,257.375
client5,39,248350.368,
client10,38,248633.217,576.14
client4,38,248733.451,348.237
client12,38,248792.235,
client13,39,248817.374,
client7,39,249455.307,235.241
client1,38,249461.319,226.132
client6,39,250165.33,215.881
client2,39,250721.386,206.656
client15,39,251146.372,195.723
client8,39,251442.402,188.722
client3,40,251988.31,205.38
client11,40,252579.266,255.02
client4,39,252920.516,194.964
client9,40,253021.31,374.957
client10,39,253133.121,266.49
client12,39,253190.321,
client14,39,253302.37,188.284
client7,40,253533.384,255.594
client1,39,253539.387,271.494
client5,40,254155.397,174.396
client13,40,254551.42,390.498
client6,40,255094.274,185.354
client15,40,255224.172,257.736
client2,40,255307.083,183.476
client3,41,256613.285,240.047
client11,41,256657.51,200.166
client4,40,256959.347,171.987
client8,40,257044.372,189.419
client12,40,257682.348,191.149
client9,41,257770.441,196.739
client10,40,258062.56,224.921
client7,41,259033.504,266.28
client1,40,259039.454,257.004
client14,40,259271.56,244.476
client6,41,259680.41,216.403
client13,41,259997.333,414.415
client5,41,260076.609,232.414
client2,41,260338.408,174.752
client15,41,260724.452,203.663
client8,41,261114.437,327.055
client3,42,261120.618,232.488
client11,42,261282.367,176.845
client4,41,261584.605,202.811
client9,42,262458.472,211.751
client10,41,262648.512,185.828
client12,41,263424.484,175.215
client14,41,263669.4,172.463
client5,42,264350.508,202.345
client6,42,264711.505,169.513
client7,42,265002.506,234.635
client1,41,265008.394,225.385
client13,42,265176.487,351.25
client8,42,265614.338,196.294
client3,43,265777.58,325.724
client11,43,265790.518,315.802
client2,42,265838.467,
client4,42,266092.495,163.482
client15,42,266693.294,151.521
client10,42,266921.589,193.987
client9,43,267434.578,190.513
client12,42,267620.534,182.449
client5,43,268389.487,194.733
client6,43,268789.565,185.294
client14,42,269411.477,174.699
client7,43,269658.597,266.007
client1,42,269664.593,257.025
client13,43,270028.562,327.153
client11,44,270282.517,232.038
client2,43,270346.506,206.497
client8,43,270543.555,264.005
client4,43,270584.544,249.589
client10,43,270999.52,186.139
client15,43,271349.578,263.345
client3,44,271409.452,237.244
client9,44,271762.344,204.342
client5,44,273014.594,186.75
client12,43,273557.461,232.206
client14,43,273606.545,188.603
client6,44,274289.58,211.363
