source_node,packet_id,request_ms,e2e_delay_ms
client8,1,61305.871,153.919
client9,1,61307.12,238.595
client13,1,61315.456,160.001
client10,1,62489.173,141.674
client1,1,62814.469,168.8
client4,1,62915.135,
client5,1,62916.986,253.664
client6,1,62919.379,200.998
client2,1,62965.125,182.18
client15,1,63389.056,241.905
client14,1,63691.9,166.332
client11,1,63764.56,203.402
client12,1,64047.812,142.391
client3,1,64740.837,177.209
client7,1,64749.044,187.123
client8,2,66516.598,151.83
client9,2,66518.031,261.903
client13,2,66526.284,151.936
client2,2,66973.075,181.888
client4,2,67196.084,151.823
client5,2,67198.09,253.512
client6,2,67200.633,144.174
client10,2,67379.439,267.569
client15,2,67873.573,186.79
client1,2,68150.223,168.766
client12,2,68547.858,161.807
client11,2,68967.599,179.824
client14,2,69684.221,173.837
client3,2,70693.97,150.546
client7,2,70702.246,179.156
client13,3,70901.147,152.173
client9,3,71174.127,160.509
client5,3,71573.129,175.139
client2,3,71629.126,252.311
client1,3,72267.441,207.694
client10,3,72457.58,181.774
client8,3,72469.761,177.329
client4,3,73149.39,208.528
client6,3,73153.778,172.966
client11,3,73451.938,156.397
client15,3,73647.054,217.846
client12,3,74008.624,200.94
client14,3,74184.177,150.422
client3,3,75068.929,148.027
client9,4,75197.353,192.258
client7,3,75358.392,257.243
client2,4,75636.819,143.11
client13,4,76893.395,144.237
client8,4,76993.258,247.421
client1,4,77017.434,253.997
client5,4,77034.164,143.839
client10,4,77067.08,306.493
client4,4,77672.99,177.093
client6,4,77677.159,165.086
client12,4,78313.302,216.542
client15,4,78646.926,186.794
client11,4,79334.703,257.65
client7,4,79365.891,155.854
client14,4,79465.081,220.711
client9,5,80072.366,183.872
client2,5,80512.015,158.411
client13,5,80917.06,151.839
client3,4,81060.66,179.959
client1,5,81501.696,145.31
client8,5,81649.341,142.224
client10,5,81871.773,142.436
client5,5,82112.224,167.786
client4,5,82329.137,161.639
client6,5,82333.242,144.464
client12,5,83102.311,177.571
client14,5,83770.051,142.216
client7,5,84241.334,155.737
client15,5,84256.263,210.069
client9,6,84963.223,175.947
client3,5,85084.319,214.556
client11,5,85107.948,219.042
