source_node,packet_id,request_ms,e2e_delay_ms
client1,1,63234.7,1.8
client2,1,63343.7,1.8
client3,1,63452.7,1.7
client4,1,63561.7,1.6
client5,1,63670.7,1.6
client6,1,63779.7,1.6
client7,1,63888.7,1.6
client8,1,63997.7,1.6
client9,1,64106.7,1.8
client10,1,64215.7,1.8
client11,1,64324.7,1.6
client12,1,64433.7,1.6
client13,1,64542.7,1.7
client14,1,64651.7,1.6
client15,1,64760.6,1.6
client1,2,67234.6,1.7
client2,2,67343.6,1.6
client3,2,67452.6,1.6
client4,2,67561.6,1.6
client5,2,67670.6,1.5
client6,2,67779.6,1.5
client7,2,67888.6,1.4
client8,2,67997.6,1.4
client9,2,68106.6,1.6
client10,2,68215.6,1.6
client11,2,68324.6,1.6
client12,2,68433.6,1.5
client13,2,68542.6,1.5
client14,2,68651.6,1.5
client15,2,68760.6,1.4
client1,3,71234.6,1.7
client2,3,71343.6,1.6
client3,3,71452.6,1.6
client4,3,71561.6,1.6
client5,3,71670.6,1.5
client6,3,71779.6,1.5
client7,3,71888.6,1.4
client8,3,71997.6,1.5
client9,3,72106.6,1.6
client10,3,72215.6,1.6
client11,3,72324.6,1.6
client12,3,72433.6,1.5
client13,3,72542.6,1.5
client14,3,72776.6,1.5
client15,3,72885.5,1.5
client1,4,75234.6,1.7
client2,4,75343.6,1.6
client3,4,75452.6,1.6
client4,4,75561.6,1.6
client5,4,75670.6,1.5
client6,4,75779.6,1.5
client7,4,75888.6,1.4
client8,4,75997.6,1.4
client9,4,76106.6,1.6
client10,4,76215.6,1.6
client11,4,76324.6,1.6
client12,4,76433.6,1.5
client13,4,76542.6,1.5
client15,4,76885.5,1.5
client14,4,76901.6,1.5
client1,5,79359.5,1.7
client2,5,79468.5,1.6
client3,5,79577.5,1.6
client4,5,79686.5,1.6
client5,5,79795.5,1.5
client6,5,79904.5,1.5
client7,5,80013.5,1.4
client8,5,80122.5,1.4
client9,5,80231.5,1.6
client10,5,80340.5,1.6
client11,5,80449.5,1.6
client12,5,80558.5,1.5
client13,5,80667.5,1.5
client15,5,80885.5,1.4
client14,5,81026.5,1.5
client1,6,83359.5,1.7
client2,6,83468.5,1.6
client3,6,83577.5,1.6
client4,6,83686.5,1.6
client5,6,83795.5,1.5
client6,6,83904.5,1.5
client7,6,84013.5,1.4
client8,6,84122.5,1.4
client9,6,84231.5,1.6
client10,6,84340.5,1.6
client11,6,84449.5,1.6
client12,6,84558.4,1.6
client13,6,84667.5,1.5
client15,6,84885.5,1.4
client14,6,85026.4,1.6
client1,7,87359.5,1.7
client2,7,87468.5,1.6
client3,7,87577.5,1.6
client4,7,87686.5,1.6
client5,7,87795.5,1.5
client6,7,87904.5,1.5
client7,7,88013.5,1.4
client8,7,88122.5,1.4
client9,7,88231.5,1.6
client10,7,88340.5,1.6
client11,7,88449.5,1.6
client12,7,88558.5,1.5
client13,7,88667.5,1.5
client15,7,88885.4,1.5
client14,7,89026.5,1.5
client1,8,91359.4,1.7
client2,8,91468.4,1.6
client3,8,91577.4,1.6
client4,8,91686.4,1.6
client5,8,91795.4,1.5
client6,8,91904.4,1.5
client7,8,92013.4,1.4
client8,8,92122.4,1.4
client9,8,92231.4,1.6
client10,8,92340.4,1.6
client11,8,92449.4,1.6
client12,8,92558.4,1.5
client13,8,92667.4,1.5
client15,8,92885.4,1.4
client14,8,93026.4,1.5
client1,9,95359.4,1.8
client2,9,95468.4,1.7
client3,9,95577.4,1.7
client4,9,95686.4,1.7
client5,9,95795.4,1.6
client6,9,95904.4,1.6
client7,9,96013.4,1.5
client8,9,96122.4,1.5
client9,9,96231.4,1.7
client10,9,96340.4,1.7
client11,9,96449.4,1.7
client12,9,96558.4,1.6
client13,9,96667.4,1.6
client15,9,96885.4,1.4
client14,9,97026.6,1.7
client1,10,99359.4,1.6
client2,10,99468.4,1.6
client3,10,99577.4,1.6
client4,10,99686.4,1.6
client5,10,99795.4,1.5
client6,10,99904.4,1.5
client7,10,100013.4,1.5
client8,10,100122.4,1.5
client9,10,100231.4,1.7
client10,10,100340.3,1.6
client11,10,100449.4,1.6
client12,10,100558.4,1.6
client13,10,100667.4,3.1
client15,10,100885.4,1.5
client14,10,101026.3,1.6
client1,11,103359.3,1.8
client2,11,103468.6,2.3
client3,11,103577.3,1.7
client4,11,103686.3,1.7
client5,11,103795.3,1.7
client6,11,103904.3,1.6
client7,11,104013.3,1.6
client8,11,104122.3,1.6
client9,11,104231.3,1.8
client10,11,104340.3,1.8
client11,11,104449.3,1.7
client12,11,104558.3,1.7
client13,11,104667.3,1.7
client15,11,104885.3,1.6
client14,11,105026.3,1.7
client1,12,107359.3,1.9
client2,12,107468.3,1.7
client3,12,107577.3,1.7
client4,12,107686.3,1.7
client5,12,107795.3,1.6
client6,12,107904.3,1.6
client7,12,108013.3,1.5
client8,12,108122.3,1.5
client9,12,108231.3,1.7
client10,12,108340.3,1.7
client11,12,108449.3,1.7
client12,12,108558.3,1.6
client13,12,108667.3,1.5
client15,12,108885.3,1.4
client14,12,109026.3,1.5
client1,13,111359.3,1.8
client2,13,111468.3,1.7
client3,13,111577.3,1.7
client4,13,111686.3,1.7
client5,13,111795.3,1.6
client6,13,111904.3,1.6
client7,13,112013.3,1.5
client8,13,112122.3,1.5
client9,13,112231.3,1.7
client10,13,112340.3,1.7
client11,13,112449.3,1.7
client12,13,112558.2,1.6
client13,13,112667.3,1.6
client15,13,112885.3,1.5
client14,13,113026.2,1.6
client1,14,115359.3,1.8
client2,14,115468.2,1.7
client3,14,115577.2,1.7
client4,14,115686.2,1.7
client5,14,115795.2,1.6
client6,14,115904.2,1.6
client7,14,116013.2,1.5
client8,14,116122.2,1.5
client9,14,116231.2,1.7
client10,14,116340.2,1.7
client11,14,116449.2,1.7
client12,14,116558.2,1.6
client13,14,116667.2,1.6
client15,14,116885.2,1.5
client14,14,117026.2,1.6
client1,15,119359.2,1.8
client2,15,119468.2,1.7
client3,15,119577.2,1.7
client4,15,119686.2,1.7
client5,15,119795.2,1.6
client6,15,119904.2,1.6
client7,15,120013.2,1.5
client8,15,120122.2,1.5
client9,15,120231.2,1.7
client10,15,120340.2,1.7
client11,15,120449.2,1.6
client12,15,120558.2,1.6
client13,15,120667.2,1.6
client15,15,120885.2,1.5
client14,15,121026.2,1.5
client1,16,123359.2,1.8
client2,16,123468.2,1.7
client3,16,123577.2,1.7
client4,16,123686.2,1.7
client5,16,123795.2,1.6
client6,16,123904.2,1.6
client7,16,124013.2,1.5
client8,16,124122.2,1.5
client9,16,124231.2,1.7
client10,16,124340.2,1.7
client11,16,124449.2,1.7
client12,16,124558.2,1.6
client13,16,124667.2,1.6
client15,16,124885.1,1.5
client14,16,125026.2,1.6
client1,17,127359.2,1.7
client2,17,127468.1,1.7
client3,17,127577.1,1.7
client4,17,127686.2,1.7
client5,17,127795.1,1.6
client6,17,127904.1,1.6
client7,17,128013.2,1.4
client8,17,128122.2,1.5
client9,17,128231.2,1.7
client10,17,128340.1,1.7
client11,17,128449.1,1.7
client12,17,128558.1,1.6
client13,17,128667.1,1.6
client15,17,128885.1,1.5
client14,17,129026.1,1.6
client1,18,131359.1,1.8
client2,18,131468.1,1.7
client3,18,131577.1,1.7
client4,18,131686.1,1.7
client5,18,131795.1,1.6
client6,18,131904.1,1.6
client7,18,132013.1,1.5
client8,18,132122.1,1.6
client9,18,132231.1,1.7
client10,18,132340.1,1.7
client11,18,132449.1,1.7
client12,18,132558.1,1.6
client13,18,132667.1,1.6
client15,18,132885.1,1.5
client14,18,133026.1,1.6
client1,19,135359.1,1.8
client2,19,135468.1,1.7
client3,19,135577.1,1.7
client4,19,135686.1,1.7
client5,19,135795.1,1.6
client6,19,135904.1,1.6
client7,19,136013.1,1.5
client8,19,136122.1,1.5
client9,19,136231.1,1.7
client10,19,136340.1,1.7
client11,19,136449.1,1.7
client12,19,136558.1,1.6
client13,19,136667.1,1.5
client15,19,136885.0,1.5
client14,19,137026.0,1.6
client1,20,139359.1,1.8
client2,20,139468.1,1.7
client3,20,139577.0,1.7
client4,20,139686.1,1.7
client5,20,139795.1,1.6
client6,20,139904.1,1.6
client7,20,140013.1,1.5
client8,20,140122.1,1.5
client9,20,140231.1,1.6
client10,20,140340.1,1.6
client11,20,140449.1,1.7
client12,20,140558.0,1.6
client13,20,140667.1,1.6
client15,20,140885.0,1.5
client14,20,141026.0,1.6
client1,21,143359.0,1.8
client2,21,143468.0,1.7
client3,21,143577.0,1.7
client4,21,143686.0,1.7
client5,21,143795.0,1.6
client6,21,143904.0,1.6
client7,21,144013.0,1.5
client8,21,144122.0,1.5
client9,21,144231.0,1.7
client10,21,144340.0,1.7
client11,21,144449.0,1.7
client12,21,144558.0,1.5
client13,21,144667.0,1.6
client15,21,144885.0,1.5
client14,21,145026.0,1.6
client1,22,147359.0,1.8
client2,22,147468.0,1.7
client3,22,147577.0,1.7
client4,22,147686.0,1.7
client5,22,147795.0,1.6
client6,22,147904.0,1.6
client7,22,148013.0,1.5
client8,22,148121.9,1.5
client9,22,148231.0,1.7
client10,22,148340.0,1.7
client11,22,148449.0,1.7
client12,22,148558.0,1.6
client13,22,148667.0,1.6
client15,22,148884.9,1.5
client14,22,149026.0,1.6
client1,23,151359.0,1.8
client2,23,151468.0,1.7
client3,23,151577.0,1.7
client4,23,151686.0,1.7
client5,23,151795.0,1.6
client6,23,151904.0,1.6
client7,23,152013.0,1.5
client8,23,152122.0,1.5
client9,23,152230.9,1.7
client10,23,152340.0,1.6
client11,23,152449.0,1.7
client12,23,152557.9,1.6
client13,23,152666.9,1.6
client15,23,152884.9,1.5
client14,23,153026.0,1.6
client1,24,155358.9,1.8
client2,24,155467.9,1.7
client3,24,155576.9,1.7
client4,24,155685.9,1.7
client5,24,155794.9,1.6
client6,24,155903.9,1.6
client7,24,156012.9,1.5
client8,24,156121.9,1.5
client9,24,156230.9,1.7
client10,24,156339.9,1.7
client11,24,156448.9,1.7
client12,24,156557.9,1.6
client13,24,156666.9,1.6
client15,24,156884.9,1.4
client14,24,157025.9,1.6
client1,25,159358.8,1.8
client2,25,159467.9,1.7
client3,25,159576.9,1.7
client4,25,159685.9,1.7
client5,25,159794.9,1.6
client6,25,159903.9,1.6
client7,25,160012.9,1.5
client8,25,160121.9,1.5
client9,25,160230.9,1.7
client10,25,160339.9,1.7
client11,25,160448.9,1.7
client12,25,160557.8,1.6
client13,25,160666.9,3.1
client15,25,160884.8,1.6
client14,25,161025.9,1.6
client1,26,163358.9,1.8
client2,26,163467.9,1.7
client3,26,163576.9,1.7
client4,26,163685.9,1.7
client5,26,163794.9,1.6
client6,26,163903.9,1.6
client7,26,164012.9,1.5
client8,26,164121.9,1.5
client9,26,164230.9,1.7
client10,26,164339.9,1.7
client11,26,164448.8,1.7
client12,26,164557.9,1.6
client13,26,164666.8,1.6
client15,26,164884.8,1.5
client14,26,165025.8,1.6
client1,27,167358.8,1.8
client2,27,167467.8,1.7
client3,27,167576.8,1.7
client4,27,167685.8,1.7
client5,27,167794.8,1.6
client6,27,167903.8,1.6
client7,27,168012.8,1.5
client8,27,168121.8,1.5
client9,27,168230.8,1.7
client10,27,168339.8,1.7
client11,27,168448.8,1.7
client12,27,168557.8,1.6
client13,27,168666.8,1.6
client15,27,168884.8,1.4
client14,27,169025.8,1.6
client1,28,171358.8,1.8
client2,28,171467.8,1.7
client3,28,171576.8,1.7
client4,28,171685.8,1.7
client5,28,171794.8,1.6
client6,28,171903.8,1.6
client7,28,172012.8,1.5
client8,28,172121.8,1.5
client9,28,172230.8,1.7
client10,28,172339.8,1.7
client11,28,172448.8,1.7
client12,28,172557.8,1.6
client13,28,172666.7,1.6
client15,28,172884.7,1.5
client14,28,173025.7,1.6
client1,29,175358.8,1.8
client2,29,175467.8,1.7
client3,29,175576.8,1.7
client4,29,175685.8,1.7
client5,29,175794.8,1.6
client6,29,175903.8,1.6
client7,29,176012.7,1.5
client8,29,176121.8,1.5
client9,29,176230.8,1.7
client10,29,176339.8,1.7
client11,29,176448.8,1.7
client12,29,176557.8,1.6
client13,29,176666.7,1.6
client15,29,176884.7,1.5
client14,29,177025.7,1.6
client1,30,179358.7,1.8
client2,30,179467.7,1.7
client3,30,179576.7,1.7
client4,30,179685.7,1.7
client5,30,179794.7,1.6
client6,30,179903.7,1.6
client7,30,180012.7,1.5
client8,30,180121.7,1.5
client9,30,180230.7,1.7
client10,30,180339.7,1.7
client11,30,180448.7,1.7
client12,30,180557.7,1.5
client13,30,180666.7,1.6
client15,30,180884.7,1.4
client14,30,181025.7,1.5
client1,31,183358.7,1.8
client2,31,183467.7,1.7
client3,31,183576.7,1.7
client4,31,183685.7,1.7
client5,31,183794.7,1.6
client6,31,183903.7,1.6
client7,31,184012.7,1.5
client8,31,184121.7,1.5
client9,31,184230.7,1.7
client10,31,184339.7,1.7
client11,31,184448.7,1.7
client12,31,184557.7,1.6
client13,31,184666.7,1.6
client15,31,184884.7,1.5
client14,31,185025.7,1.6
client1,32,187358.7,1.8
client2,32,187467.7,1.7
client3,32,187576.7,1.7
client4,32,187685.7,1.7
client5,32,187794.7,1.6
client6,32,187903.7,1.6
client7,32,188012.7,1.5
client8,32,188121.7,1.5
client9,32,188230.7,1.7
client10,32,188339.6,1.7
client11,32,188448.6,1.7
client12,32,188557.6,1.6
client13,32,188666.6,1.6
client15,32,188884.6,1.5
client14,32,189025.6,1.6
client1,33,191358.6,1.8
client2,33,191467.6,1.7
client3,33,191576.6,1.7
client4,33,191685.6,1.7
