source_node,packet_id,request_ms,e2e_delay_ms
m3-4.paris.iot-lab.info,1,58692.499,58.962
m3-7.paris.iot-lab.info,1,59740.642,48.13
m3-8.paris.iot-lab.info,1,59827.108,43.365
m3-18.paris.iot-lab.info,1,60852.319,47.885
m3-11.paris.iot-lab.info,1,60941.509,48.153
m3-3.paris.iot-lab.info,1,61142.827,
m3-15.paris.iot-lab.info,1,61158.16,59.369
m3-19.paris.iot-lab.info,1,61919.071,48.005
m3-10.paris.iot-lab.info,1,62361.7,47.76
m3-12.paris.iot-lab.info,1,62665.862,48.54
m3-13.paris.iot-lab.info,1,63614.92,48.108
m3-9.paris.iot-lab.info,1,65026.592,47.101
m3-6.paris.iot-lab.info,1,66596.832,48.293
m3-5.paris.iot-lab.info,1,66848.225,48.416
m3-2.paris.iot-lab.info,1,68395.653,46.984
m3-7.paris.iot-lab.info,2,68762.764,47.338
m3-8.paris.iot-lab.info,2,68920.694,47.603
m3-4.paris.iot-lab.info,2,69035.353,47.692
m3-18.paris.iot-lab.info,2,70130.0,47.034
m3-11.paris.iot-lab.info,2,70348.814,48.801
m3-15.paris.iot-lab.info,2,70720.529,48.459
m3-3.paris.iot-lab.info,2,70851.748,47.324
m3-19.paris.iot-lab.info,2,71756.862,47.336
m3-10.paris.iot-lab.info,2,72355.438,47.387
m3-12.paris.iot-lab.info,2,72918.139,47.165
m3-13.paris.iot-lab.info,2,73182.268,48.451
m3-9.paris.iot-lab.info,2,74369.17,47.861
m3-5.paris.iot-lab.info,2,77210.796,46.576
m3-6.paris.iot-lab.info,2,77587.739,59.252
m3-8.paris.iot-lab.info,3,77923.202,47.601
m3-2.paris.iot-lab.info,2,78613.104,48.125
m3-7.paris.iot-lab.info,3,78903.323,48.433
m3-11.paris.iot-lab.info,3,79402.537,47.693
m3-18.paris.iot-lab.info,3,79696.192,48.345
m3-4.paris.iot-lab.info,3,79786.135,48.322
m3-15.paris.iot-lab.info,3,79839.847,48.322
m3-3.paris.iot-lab.info,3,81186.659,47.971
m3-10.paris.iot-lab.info,3,82479.214,47.893
m3-19.paris.iot-lab.info,3,82635.616,48.288
m3-12.paris.iot-lab.info,3,82724.486,48.286
m3-13.paris.iot-lab.info,3,83693.688,48.053
m3-9.paris.iot-lab.info,3,84784.382,48.114
m3-5.paris.iot-lab.info,3,86904.694,48.451
m3-6.paris.iot-lab.info,3,87438.241,48.351
m3-8.paris.iot-lab.info,4,87757.093,47.143
m3-2.paris.iot-lab.info,3,88147.923,47.545
m3-18.paris.iot-lab.info,4,88847.422,47.414
m3-11.paris.iot-lab.info,4,88937.77,48.102
m3-15.paris.iot-lab.info,4,89407.226,49.738
m3-4.paris.iot-lab.info,4,89414.411,63.203
m3-7.paris.iot-lab.info,4,89684.113,47.562
m3-3.paris.iot-lab.info,4,90719.512,47.439
m3-10.paris.iot-lab.info,4,91962.959,47.653
m3-12.paris.iot-lab.info,4,92307.74,48.239
m3-19.paris.iot-lab.info,4,92698.95,58.716
m3-13.paris.iot-lab.info,4,92972.979,48.232
m3-9.paris.iot-lab.info,4,94719.791,47.802
m3-5.paris.iot-lab.info,4,96248.012,48.214
m3-6.paris.iot-lab.info,4,96472.755,47.19
m3-18.paris.iot-lab.info,5,98126.206,58.698
m3-8.paris.iot-lab.info,5,98651.412,48.693
m3-2.paris.iot-lab.info,4,98994.82,48.47
m3-4.paris.iot-lab.info,5,99124.766,47.684
m3-7.paris.iot-lab.info,5,99234.894,48.546
m3-11.paris.iot-lab.info,5,99656.923,48.452
m3-15.paris.iot-lab.info,5,100206.465,48.069
m3-3.paris.iot-lab.info,5,100462.047,48.563
m3-12.paris.iot-lab.info,5,102179.084,48.247
m3-13.paris.iot-lab.info,5,102444.045,47.512
m3-19.paris.iot-lab.info,5,102485.282,48.301
m3-10.paris.iot-lab.info,5,102889.871,48.439
m3-9.paris.iot-lab.info,5,104975.036,48.383
