source_node,packet_id,request_ms,e2e_delay_ms
m3-4.paris.iot-lab.info,1,58740.584,19.574
m3-7.paris.iot-lab.info,1,59744.866,15.742
m3-8.paris.iot-lab.info,1,59936.047,15.769
m3-11.paris.iot-lab.info,1,60972.996,15.763
m3-3.paris.iot-lab.info,1,61189.477,15.672
m3-15.paris.iot-lab.info,1,61257.245,15.785
m3-13.paris.iot-lab.info,1,62026.785,15.562
m3-10.paris.iot-lab.info,1,62414.576,15.705
m3-12.paris.iot-lab.info,1,62678.105,15.374
m3-9.paris.iot-lab.info,1,65038.492,15.606
m3-18.paris.iot-lab.info,1,66094.837,15.724
m3-6.paris.iot-lab.info,1,66609.316,15.66
m3-5.paris.iot-lab.info,1,66898.689,15.724
m3-2.paris.iot-lab.info,1,68406.029,15.826
m3-16.paris.iot-lab.info,1,68408.973,
m3-4.paris.iot-lab.info,2,69076.101,15.595
m3-7.paris.iot-lab.info,2,69136.21,15.805
m3-8.paris.iot-lab.info,2,69151.558,15.75
m3-11.paris.iot-lab.info,2,70396.46,15.68
m3-15.paris.iot-lab.info,2,70808.814,15.634
m3-3.paris.iot-lab.info,2,70900.786,15.773
m3-13.paris.iot-lab.info,2,71498.092,15.678
m3-10.paris.iot-lab.info,2,72414.233,15.55
m3-12.paris.iot-lab.info,2,72917.311,15.951
m3-9.paris.iot-lab.info,2,74382.119,15.505
m3-18.paris.iot-lab.info,2,75662.415,15.612
m3-5.paris.iot-lab.info,2,77250.238,15.604
m3-6.paris.iot-lab.info,2,77600.644,15.637
m3-16.paris.iot-lab.info,2,77848.637,15.616
m3-8.paris.iot-lab.info,3,78159.016,15.721
m3-2.paris.iot-lab.info,2,78629.325,15.969
m3-7.paris.iot-lab.info,3,79279.536,15.82
m3-11.paris.iot-lab.info,3,79435.818,15.792
m3-4.paris.iot-lab.info,3,79827.221,15.683
m3-15.paris.iot-lab.info,3,79928.191,15.833
m3-3.paris.iot-lab.info,3,81236.209,15.779
m3-13.paris.iot-lab.info,3,82201.43,31.78
m3-10.paris.iot-lab.info,3,82525.393,15.857
m3-12.paris.iot-lab.info,3,82740.558,19.843
m3-9.paris.iot-lab.info,3,84797.258,15.751
m3-18.paris.iot-lab.info,3,84813.373,16.188
m3-5.paris.iot-lab.info,3,86961.404,15.775
m3-6.paris.iot-lab.info,3,87456.042,15.769
m3-8.paris.iot-lab.info,4,87982.49,15.832
m3-2.paris.iot-lab.info,3,88164.673,16.087
m3-16.paris.iot-lab.info,3,88199.914,15.777
m3-11.paris.iot-lab.info,4,88971.227,15.78
m3-4.paris.iot-lab.info,4,89458.624,15.777
m3-15.paris.iot-lab.info,4,89495.484,15.793
m3-7.paris.iot-lab.info,4,90062.911,15.712
m3-3.paris.iot-lab.info,4,90771.655,15.55
m3-10.paris.iot-lab.info,4,92012.866,15.723
m3-12.paris.iot-lab.info,4,92324.126,15.547
m3-13.paris.iot-lab.info,4,93032.79,15.749
m3-18.paris.iot-lab.info,4,94093.373,15.741
m3-9.paris.iot-lab.info,4,94732.649,15.754
m3-5.paris.iot-lab.info,4,96304.723,15.782
m3-6.paris.iot-lab.info,4,96479.472,15.824
m3-8.paris.iot-lab.info,5,98894.109,15.572
m3-16.paris.iot-lab.info,4,98951.3,18.73
m3-2.paris.iot-lab.info,4,99012.27,15.565
m3-4.paris.iot-lab.info,5,99169.864,19.422
m3-7.paris.iot-lab.info,5,99630.042,20.178
m3-11.paris.iot-lab.info,5,99706.589,15.821
m3-15.paris.iot-lab.info,5,100294.794,15.751
m3-3.paris.iot-lab.info,5,100515.03,15.83
m3-12.paris.iot-lab.info,5,102179.288,15.937
m3-10.paris.iot-lab.info,5,102956.213,19.199
m3-13.paris.iot-lab.info,5,103912.113,15.881
m3-18.paris.iot-lab.info,5,103964.696,15.795
m3-9.paris.iot-lab.info,5,104988.194,15.612
m3-5.paris.iot-lab.info,5,106639.771,19.72
m3-6.paris.iot-lab.info,5,107118.891,15.69
m3-2.paris.iot-lab.info,5,108355.497,15.983
m3-7.paris.iot-lab.info,6,108669.664,15.804
m3-8.paris.iot-lab.info,6,108829.198,15.808
m3-4.paris.iot-lab.info,6,109201.219,15.782
m3-16.paris.iot-lab.info,5,109350.744,15.805
m3-15.paris.iot-lab.info,6,109526.197,15.785
m3-11.paris.iot-lab.info,6,109706.077,15.875
m3-3.paris.iot-lab.info,6,110946.903,15.376
m3-12.paris.iot-lab.info,6,111202.848,15.646
m3-10.paris.iot-lab.info,6,112891.679,18.566
m3-18.paris.iot-lab.info,6,114556.126,15.805
