source_node,packet_id,request_ms,e2e_delay_ms
nrf52840dk-7.saclay.iot-lab.info,1,60688.683,144.812
nrf52840dk-9.saclay.iot-lab.info,1,61070.106,143.648
nrf52840dk-3.saclay.iot-lab.info,1,61591.838,143.938
nrf52840dk-4.saclay.iot-lab.info,1,62172.977,146.004
nrf52840dk-5.saclay.iot-lab.info,1,63415.028,143.277
nrf52840dk-6.saclay.iot-lab.info,1,63498.253,143.944
nrf52840dk-8.saclay.iot-lab.info,1,64651.769,143.105
nrf52840dk-10.saclay.iot-lab.info,1,65343.037,144.788
nrf52840dk-2.saclay.iot-lab.info,1,68677.185,142.718
nrf52840dk-7.saclay.iot-lab.info,2,70158.803,144.786
nrf52840dk-9.saclay.iot-lab.info,2,71313.005,145.023
nrf52840dk-3.saclay.iot-lab.info,2,71634.733,165.813
nrf52840dk-4.saclay.iot-lab.info,2,71658.416,190.797
nrf52840dk-6.saclay.iot-lab.info,2,72993.5,140.482
nrf52840dk-5.saclay.iot-lab.info,2,73226.878,145.986
nrf52840dk-8.saclay.iot-lab.info,2,74873.238,142.143
nrf52840dk-10.saclay.iot-lab.info,2,76243.173,143.773
nrf52840dk-2.saclay.iot-lab.info,2,78119.055,145.101
nrf52840dk-9.saclay.iot-lab.info,3,80465.713,141.552
nrf52840dk-7.saclay.iot-lab.info,3,80964.281,142.576
nrf52840dk-4.saclay.iot-lab.info,3,82086.955,141.434
nrf52840dk-3.saclay.iot-lab.info,3,82325.077,146.272
nrf52840dk-5.saclay.iot-lab.info,3,82561.011,143.849
nrf52840dk-6.saclay.iot-lab.info,3,83341.459,144.316
nrf52840dk-8.saclay.iot-lab.info,3,84133.026,141.726
nrf52840dk-10.saclay.iot-lab.info,3,86536.203,142.996
nrf52840dk-2.saclay.iot-lab.info,3,87820.286,145.971
nrf52840dk-9.saclay.iot-lab.info,4,90443.061,146.902
nrf52840dk-7.saclay.iot-lab.info,4,91710.414,140.665
nrf52840dk-5.saclay.iot-lab.info,4,92581.625,145.289
nrf52840dk-4.saclay.iot-lab.info,4,92737.528,144.063
nrf52840dk-3.saclay.iot-lab.info,4,92840.284,145.425
nrf52840dk-8.saclay.iot-lab.info,4,93324.155,144.359
nrf52840dk-6.saclay.iot-lab.info,4,94213.395,143.393
nrf52840dk-10.saclay.iot-lab.info,4,97091.825,145.074
nrf52840dk-2.saclay.iot-lab.info,4,97815.53,143.052
nrf52840dk-9.saclay.iot-lab.info,5,100782.534,145.201
nrf52840dk-7.saclay.iot-lab.info,5,101604.51,142.852
nrf52840dk-5.saclay.iot-lab.info,5,102024.381,143.845
nrf52840dk-3.saclay.iot-lab.info,5,102133.467,143.635
nrf52840dk-4.saclay.iot-lab.info,5,102493.434,141.416
nrf52840dk-8.saclay.iot-lab.info,5,103306.309,142.877
nrf52840dk-6.saclay.iot-lab.info,5,103785.302,146.163
nrf52840dk-10.saclay.iot-lab.info,5,106241.215,145.236
nrf52840dk-2.saclay.iot-lab.info,5,107146.444,144.541
nrf52840dk-7.saclay.iot-lab.info,6,110847.489,142.967
nrf52840dk-9.saclay.iot-lab.info,6,111646.736,142.416
nrf52840dk-3.saclay.iot-lab.info,6,112076.888,142.474
nrf52840dk-5.saclay.iot-lab.info,6,112498.081,145.442
nrf52840dk-8.saclay.iot-lab.info,6,112923.018,145.267
nrf52840dk-4.saclay.iot-lab.info,6,113086.539,144.57
nrf52840dk-6.saclay.iot-lab.info,6,113818.176,143.304
nrf52840dk-2.saclay.iot-lab.info,6,116373.423,143.587
nrf52840dk-10.saclay.iot-lab.info,6,117141.798,142.78
nrf52840dk-7.saclay.iot-lab.info,7,121074.158,142.586
nrf52840dk-3.saclay.iot-lab.info,7,121782.603,142.589
nrf52840dk-5.saclay.iot-lab.info,7,121977.898,142.874
nrf52840dk-9.saclay.iot-lab.info,7,122032.311,159.94
nrf52840dk-8.saclay.iot-lab.info,7,122879.709,143.86
nrf52840dk-6.saclay.iot-lab.info,7,123269.781,162.502
nrf52840dk-4.saclay.iot-lab.info,7,123281.389,203.897
nrf52840dk-2.saclay.iot-lab.info,7,126331.306,144.406
nrf52840dk-10.saclay.iot-lab.info,7,127514.768,145.626
nrf52840dk-3.saclay.iot-lab.info,8,131217.329,142.512
nrf52840dk-7.saclay.iot-lab.info,8,131606.047,145.958
nrf52840dk-9.saclay.iot-lab.info,8,131781.669,143.728
nrf52840dk-5.saclay.iot-lab.info,8,132541.437,144.481
nrf52840dk-8.saclay.iot-lab.info,8,133489.221,144.529
nrf52840dk-6.saclay.iot-lab.info,8,133518.684,186.138
nrf52840dk-4.saclay.iot-lab.info,8,133791.823,144.667
nrf52840dk-2.saclay.iot-lab.info,8,136470.381,143.122
nrf52840dk-10.saclay.iot-lab.info,8,137191.231,144.44
nrf52840dk-3.saclay.iot-lab.info,9,140982.774,141.482
nrf52840dk-7.saclay.iot-lab.info,9,142045.793,162.285
nrf52840dk-9.saclay.iot-lab.info,9,142060.747,196.872
nrf52840dk-5.saclay.iot-lab.info,9,142371.292,142.85
nrf52840dk-6.saclay.iot-lab.info,9,143250.486,144.772
nrf52840dk-8.saclay.iot-lab.info,9,144236.153,161.808
nrf52840dk-4.saclay.iot-lab.info,9,144245.34,204.394
nrf52840dk-2.saclay.iot-lab.info,9,145583.588,143.803
nrf52840dk-10.saclay.iot-lab.info,9,146251.096,145.817
nrf52840dk-3.saclay.iot-lab.info,10,150427.667,144.545
nrf52840dk-7.saclay.iot-lab.info,10,151713.223,143.242
nrf52840dk-6.saclay.iot-lab.info,10,152385.071,144.385
nrf52840dk-9.saclay.iot-lab.info,10,152429.393,170.726
nrf52840dk-5.saclay.iot-lab.info,10,152725.793,142.569
nrf52840dk-4.saclay.iot-lab.info,10,153556.622,143.831
nrf52840dk-8.saclay.iot-lab.info,10,153887.874,143.304
nrf52840dk-10.saclay.iot-lab.info,10,155273.328,143.774
nrf52840dk-2.saclay.iot-lab.info,10,156151.121,146.461
nrf52840dk-3.saclay.iot-lab.info,11,160861.284,144.272
nrf52840dk-7.saclay.iot-lab.info,11,162665.44,146.36
nrf52840dk-9.saclay.iot-lab.info,11,163071.94,143.602
nrf52840dk-6.saclay.iot-lab.info,11,163260.306,143.396
nrf52840dk-5.saclay.iot-lab.info,11,163324.079,150.353
nrf52840dk-4.saclay.iot-lab.info,11,164489.374,144.082
nrf52840dk-8.saclay.iot-lab.info,11,164873.87,144.659
nrf52840dk-2.saclay.iot-lab.info,11,165729.203,145.219
nrf52840dk-10.saclay.iot-lab.info,11,166129.749,145.561
nrf52840dk-3.saclay.iot-lab.info,12,170748.356,144.007
nrf52840dk-7.saclay.iot-lab.info,12,171772.388,143.144
nrf52840dk-9.saclay.iot-lab.info,12,172313.784,142.285
nrf52840dk-5.saclay.iot-lab.info,12,172694.453,145.049
nrf52840dk-6.saclay.iot-lab.info,12,172991.483,144.298
nrf52840dk-4.saclay.iot-lab.info,12,174407.404,142.071
nrf52840dk-8.saclay.iot-lab.info,12,174813.992,143.978
nrf52840dk-10.saclay.iot-lab.info,12,175456.229,144.748
nrf52840dk-2.saclay.iot-lab.info,12,176237.609,145.836
nrf52840dk-3.saclay.iot-lab.info,13,180452.003,166.696
nrf52840dk-7.saclay.iot-lab.info,13,180993.104,144.909
nrf52840dk-9.saclay.iot-lab.info,13,182859.43,230.609
nrf52840dk-6.saclay.iot-lab.info,13,182882.683,284.513
nrf52840dk-5.saclay.iot-lab.info,13,183349.988,145.021
nrf52840dk-8.saclay.iot-lab.info,13,184814.725,143.264
nrf52840dk-4.saclay.iot-lab.info,13,185317.56,142.158
nrf52840dk-10.saclay.iot-lab.info,13,186161.746,160.988
nrf52840dk-2.saclay.iot-lab.info,13,187110.49,144.583
nrf52840dk-7.saclay.iot-lab.info,14,190373.447,144.41
nrf52840dk-3.saclay.iot-lab.info,14,191423.786,145.287
nrf52840dk-9.saclay.iot-lab.info,14,191951.253,143.263
nrf52840dk-6.saclay.iot-lab.info,14,193333.502,144.706
nrf52840dk-5.saclay.iot-lab.info,14,193795.175,145.928
nrf52840dk-8.saclay.iot-lab.info,14,194605.528,143.015
nrf52840dk-4.saclay.iot-lab.info,14,196036.555,141.958
nrf52840dk-10.saclay.iot-lab.info,14,197101.805,145.288
nrf52840dk-2.saclay.iot-lab.info,14,198027.947,144.145
nrf52840dk-7.saclay.iot-lab.info,15,199907.076,144.32
nrf52840dk-9.saclay.iot-lab.info,15,201651.448,145.468
nrf52840dk-3.saclay.iot-lab.info,15,202045.602,144.677
nrf52840dk-6.saclay.iot-lab.info,15,203521.464,142.813
nrf52840dk-8.saclay.iot-lab.info,15,204425.22,141.317
nrf52840dk-5.saclay.iot-lab.info,15,204661.935,141.611
nrf52840dk-4.saclay.iot-lab.info,15,205307.34,141.883
nrf52840dk-10.saclay.iot-lab.info,15,206443.556,145.752
nrf52840dk-2.saclay.iot-lab.info,15,208184.797,144.474
nrf52840dk-7.saclay.iot-lab.info,16,208913.17,143.428
nrf52840dk-9.saclay.iot-lab.info,16,211385.595,144.66
nrf52840dk-3.saclay.iot-lab.info,16,211911.752,146.08
nrf52840dk-8.saclay.iot-lab.info,16,213669.151,149.039
nrf52840dk-6.saclay.iot-lab.info,16,213918.424,146.97
nrf52840dk-4.saclay.iot-lab.info,16,215396.138,145.316
nrf52840dk-5.saclay.iot-lab.info,16,215498.649,143.291
nrf52840dk-10.saclay.iot-lab.info,16,216610.551,143.48
nrf52840dk-2.saclay.iot-lab.info,16,217440.167,143.368
nrf52840dk-7.saclay.iot-lab.info,17,218903.322,143.293
nrf52840dk-9.saclay.iot-lab.info,17,221499.572,160.916
nrf52840dk-3.saclay.iot-lab.info,17,221516.2,197.458
nrf52840dk-6.saclay.iot-lab.info,17,222977.535,145.49
nrf52840dk-8.saclay.iot-lab.info,17,224445.852,146.538
nrf52840dk-5.saclay.iot-lab.info,17,224714.614,144.474
nrf52840dk-4.saclay.iot-lab.info,17,225344.354,143.142
nrf52840dk-10.saclay.iot-lab.info,17,225873.972,144.792
nrf52840dk-2.saclay.iot-lab.info,17,226630.657,142.87
nrf52840dk-7.saclay.iot-lab.info,18,228778.197,143.907
nrf52840dk-9.saclay.iot-lab.info,18,231759.365,146.348
nrf52840dk-3.saclay.iot-lab.info,18,231794.559,180.68
