source_node,packet_id,request_ms,e2e_delay_ms
nrf52840dk-7.saclay.iot-lab.info,1,60564.192,19.879
nrf52840dk-3.saclay.iot-lab.info,1,60629.027,21.437
nrf52840dk-9.saclay.iot-lab.info,1,62475.975,30.087
nrf52840dk-10.saclay.iot-lab.info,1,62766.102,18.467
nrf52840dk-8.saclay.iot-lab.info,1,62882.071,31.684
nrf52840dk-6.saclay.iot-lab.info,1,62925.145,19.844
nrf52840dk-4.saclay.iot-lab.info,1,62960.269,22.355
nrf52840dk-5.saclay.iot-lab.info,1,63324.413,32.376
nrf52840dk-2.saclay.iot-lab.info,1,66581.987,20.21
nrf52840dk-3.saclay.iot-lab.info,2,69800.479,21.432
nrf52840dk-7.saclay.iot-lab.info,2,71370.066,19.364
nrf52840dk-10.saclay.iot-lab.info,2,71826.129,21.477
nrf52840dk-6.saclay.iot-lab.info,2,72416.603,21.974
nrf52840dk-9.saclay.iot-lab.info,2,72455.314,28.974
nrf52840dk-8.saclay.iot-lab.info,2,72476.82,
nrf52840dk-5.saclay.iot-lab.info,2,73343.629,32.291
nrf52840dk-4.saclay.iot-lab.info,2,73387.973,20.298
nrf52840dk-2.saclay.iot-lab.info,2,77234.55,22.056
nrf52840dk-3.saclay.iot-lab.info,3,79663.429,20.318
nrf52840dk-7.saclay.iot-lab.info,3,81043.94,19.231
nrf52840dk-10.saclay.iot-lab.info,3,81258.612,19.702
nrf52840dk-8.saclay.iot-lab.info,3,82374.494,29.778
nrf52840dk-4.saclay.iot-lab.info,3,82516.124,19.596
nrf52840dk-5.saclay.iot-lab.info,3,82758.422,31.568
nrf52840dk-9.saclay.iot-lab.info,3,82794.439,28.22
nrf52840dk-6.saclay.iot-lab.info,3,82864.075,20.001
nrf52840dk-2.saclay.iot-lab.info,3,87592.398,20.417
nrf52840dk-3.saclay.iot-lab.info,4,88957.812,18.952
nrf52840dk-7.saclay.iot-lab.info,4,90286.001,18.428
nrf52840dk-10.saclay.iot-lab.info,4,91371.944,20.824
nrf52840dk-8.saclay.iot-lab.info,4,91990.74,32.695
nrf52840dk-4.saclay.iot-lab.info,4,92270.442,19.729
nrf52840dk-6.saclay.iot-lab.info,4,92435.908,21.879
nrf52840dk-9.saclay.iot-lab.info,4,92488.108,27.782
nrf52840dk-5.saclay.iot-lab.info,4,93257.79,30.382
nrf52840dk-2.saclay.iot-lab.info,4,96924.584,18.739
nrf52840dk-3.saclay.iot-lab.info,5,98898.276,21.043
nrf52840dk-7.saclay.iot-lab.info,5,100529.456,16.923
nrf52840dk-10.saclay.iot-lab.info,5,100637.335,18.49
nrf52840dk-8.saclay.iot-lab.info,5,101947.888,28.834
nrf52840dk-6.saclay.iot-lab.info,5,102470.507,18.664
nrf52840dk-5.saclay.iot-lab.info,5,102738.077,30.777
nrf52840dk-4.saclay.iot-lab.info,5,102865.034,21.049
nrf52840dk-9.saclay.iot-lab.info,5,103097.226,31.003
nrf52840dk-2.saclay.iot-lab.info,5,106152.002,20.313
nrf52840dk-3.saclay.iot-lab.info,6,108605.824,19.479
nrf52840dk-7.saclay.iot-lab.info,6,110754.192,20.215
nrf52840dk-10.saclay.iot-lab.info,6,111065.573,18.642
nrf52840dk-8.saclay.iot-lab.info,6,111792.378,29.47
nrf52840dk-6.saclay.iot-lab.info,6,111922.573,19.285
nrf52840dk-4.saclay.iot-lab.info,6,113061.867,21.313
nrf52840dk-5.saclay.iot-lab.info,6,113300.197,30.928
nrf52840dk-9.saclay.iot-lab.info,6,113798.665,31.607
nrf52840dk-2.saclay.iot-lab.info,6,116947.634,20.396
nrf52840dk-3.saclay.iot-lab.info,7,117942.669,20.854
nrf52840dk-7.saclay.iot-lab.info,7,119777.886,28.328
nrf52840dk-10.saclay.iot-lab.info,7,121504.889,20.486
nrf52840dk-6.saclay.iot-lab.info,7,121761.37,22.309
nrf52840dk-8.saclay.iot-lab.info,7,121848.309,31.772
nrf52840dk-4.saclay.iot-lab.info,7,122641.483,20.435
nrf52840dk-5.saclay.iot-lab.info,7,123298.518,56.901
nrf52840dk-9.saclay.iot-lab.info,7,123307.849,
nrf52840dk-2.saclay.iot-lab.info,7,127426.856,21.377
nrf52840dk-3.saclay.iot-lab.info,8,128193.075,18.696
nrf52840dk-7.saclay.iot-lab.info,8,129818.187,19.479
nrf52840dk-4.saclay.iot-lab.info,8,131864.201,22.828
nrf52840dk-10.saclay.iot-lab.info,8,132137.585,20.736
nrf52840dk-6.saclay.iot-lab.info,8,132213.89,19.941
nrf52840dk-8.saclay.iot-lab.info,8,132595.79,28.726
nrf52840dk-5.saclay.iot-lab.info,8,133073.567,27.907
nrf52840dk-9.saclay.iot-lab.info,8,133673.303,27.613
nrf52840dk-3.saclay.iot-lab.info,9,137638.447,19.937
nrf52840dk-2.saclay.iot-lab.info,8,137982.301,18.93
nrf52840dk-7.saclay.iot-lab.info,9,140614.867,18.592
nrf52840dk-4.saclay.iot-lab.info,9,141176.995,20.341
nrf52840dk-6.saclay.iot-lab.info,9,141348.631,18.47
nrf52840dk-10.saclay.iot-lab.info,9,142009.522,21.162
nrf52840dk-9.saclay.iot-lab.info,9,142914.501,29.707
nrf52840dk-5.saclay.iot-lab.info,9,142956.967,30.549
nrf52840dk-8.saclay.iot-lab.info,9,143579.857,31.691
nrf52840dk-3.saclay.iot-lab.info,10,148071.066,28.876
nrf52840dk-2.saclay.iot-lab.info,9,148071.989,19.879
nrf52840dk-7.saclay.iot-lab.info,10,150446.551,20.416
nrf52840dk-4.saclay.iot-lab.info,10,152109.103,18.027
nrf52840dk-6.saclay.iot-lab.info,10,152223.709,20.138
nrf52840dk-10.saclay.iot-lab.info,10,152584.744,19.558
nrf52840dk-5.saclay.iot-lab.info,10,153403.942,33.753
nrf52840dk-9.saclay.iot-lab.info,10,153458.58,26.141
nrf52840dk-8.saclay.iot-lab.info,10,153521.328,30.424
nrf52840dk-3.saclay.iot-lab.info,11,157289.562,19.873
nrf52840dk-2.saclay.iot-lab.info,10,158550.999,19.824
nrf52840dk-7.saclay.iot-lab.info,11,161011.997,19.503
nrf52840dk-6.saclay.iot-lab.info,11,161954.187,20.926
nrf52840dk-4.saclay.iot-lab.info,11,162027.165,20.245
nrf52840dk-10.saclay.iot-lab.info,11,163339.306,19.755
nrf52840dk-8.saclay.iot-lab.info,11,163522.128,31.171
nrf52840dk-9.saclay.iot-lab.info,11,164071.002,29.254
nrf52840dk-5.saclay.iot-lab.info,11,164276.514,31.79
nrf52840dk-3.saclay.iot-lab.info,12,168134.857,21.982
nrf52840dk-2.saclay.iot-lab.info,11,168726.3,20.698
nrf52840dk-7.saclay.iot-lab.info,12,170875.775,19.756
nrf52840dk-6.saclay.iot-lab.info,12,171846.032,20.133
nrf52840dk-4.saclay.iot-lab.info,12,172937.343,19.507
nrf52840dk-9.saclay.iot-lab.info,12,173116.872,31.768
nrf52840dk-8.saclay.iot-lab.info,12,173268.802,29.696
nrf52840dk-10.saclay.iot-lab.info,12,173525.309,20.064
nrf52840dk-5.saclay.iot-lab.info,12,175143.721,31.68
nrf52840dk-2.saclay.iot-lab.info,12,178329.968,18.881
nrf52840dk-3.saclay.iot-lab.info,13,179107.637,19.072
nrf52840dk-7.saclay.iot-lab.info,13,180255.186,19.87
nrf52840dk-6.saclay.iot-lab.info,13,182081.091,19.577
nrf52840dk-4.saclay.iot-lab.info,13,183099.344,21.481
nrf52840dk-10.saclay.iot-lab.info,13,183148.178,22.303
nrf52840dk-9.saclay.iot-lab.info,13,183673.56,30.736
nrf52840dk-8.saclay.iot-lab.info,13,184119.21,29.928
nrf52840dk-5.saclay.iot-lab.info,13,185980.524,31.48
nrf52840dk-3.saclay.iot-lab.info,14,188486.528,20.043
nrf52840dk-2.saclay.iot-lab.info,13,189123.395,21.792
nrf52840dk-7.saclay.iot-lab.info,14,190469.512,18.58
nrf52840dk-6.saclay.iot-lab.info,14,191516.604,19.969
nrf52840dk-8.saclay.iot-lab.info,14,193360.016,29.947
nrf52840dk-10.saclay.iot-lab.info,14,193676.762,20.203
nrf52840dk-9.saclay.iot-lab.info,14,193784.605,29.938
nrf52840dk-4.saclay.iot-lab.info,14,193819.33,21.333
nrf52840dk-5.saclay.iot-lab.info,14,196562.345,29.879
nrf52840dk-3.saclay.iot-lab.info,15,197908.446,19.938
nrf52840dk-2.saclay.iot-lab.info,14,199672.901,18.732
nrf52840dk-7.saclay.iot-lab.info,15,200465.859,23.327
nrf52840dk-6.saclay.iot-lab.info,15,201914.84,22.068
nrf52840dk-9.saclay.iot-lab.info,15,204045.849,31.665
nrf52840dk-8.saclay.iot-lab.info,15,204139.221,33.174
nrf52840dk-4.saclay.iot-lab.info,15,204450.431,20.105
nrf52840dk-10.saclay.iot-lab.info,15,204612.626,20.967
nrf52840dk-5.saclay.iot-lab.info,15,205795.498,29.961
nrf52840dk-3.saclay.iot-lab.info,16,207050.011,20.073
nrf52840dk-2.saclay.iot-lab.info,15,209456.161,21.488
nrf52840dk-7.saclay.iot-lab.info,16,210863.959,20.503
nrf52840dk-6.saclay.iot-lab.info,16,211660.46,22.389
nrf52840dk-10.saclay.iot-lab.info,16,214330.059,20.755
nrf52840dk-4.saclay.iot-lab.info,16,214538.864,22.132
nrf52840dk-9.saclay.iot-lab.info,16,214932.242,31.83
nrf52840dk-8.saclay.iot-lab.info,16,215068.011,29.707
nrf52840dk-5.saclay.iot-lab.info,16,215498.212,28.099
nrf52840dk-3.saclay.iot-lab.info,17,216718.922,20.005
nrf52840dk-2.saclay.iot-lab.info,16,220390.872,21.11
nrf52840dk-6.saclay.iot-lab.info,17,220719.751,22.711
nrf52840dk-7.saclay.iot-lab.info,17,221274.798,21.548
nrf52840dk-10.saclay.iot-lab.info,17,224040.646,21.617
nrf52840dk-4.saclay.iot-lab.info,17,224487.38,19.856
nrf52840dk-9.saclay.iot-lab.info,17,224873.105,34.424
nrf52840dk-8.saclay.iot-lab.info,17,225011.522,30.747
nrf52840dk-5.saclay.iot-lab.info,17,225570.746,30.039
nrf52840dk-3.saclay.iot-lab.info,18,226413.857,19.238
nrf52840dk-2.saclay.iot-lab.info,17,230416.321,21.495
nrf52840dk-6.saclay.iot-lab.info,18,230791.596,19.715
nrf52840dk-7.saclay.iot-lab.info,18,231150.345,20.731
nrf52840dk-4.saclay.iot-lab.info,18,233909.763,21.677
nrf52840dk-8.saclay.iot-lab.info,18,234232.98,33.391
