source_node,packet_id,request_ms,e2e_delay_ms
client6,1,60779.82,165.016
client10,1,60792.49,224.386
client15,1,62256.744,157.652
client5,1,62413.815,278.299
client9,1,63095.07,147.272
client2,1,63429.438,145.725
client12,1,63480.908,165.622
client3,1,64105.878,147.102
client1,1,64716.389,152.655
client7,1,64764.893,175.043
client13,1,66159.042,257.432
client4,1,66935.903,147.129
client14,1,67892.118,239.24
client11,1,68625.962,193.46
client8,1,69735.7,145.506
client10,2,70460.936,147.237
client6,2,70586.677,147.339
client15,2,72480.169,147.083
client12,2,72650.668,180.787
client5,2,72722.111,
client2,2,72813.891,149.346
client9,2,73322.89,147.715
client7,2,73918.25,148.44
client3,2,74203.897,150.97
client13,2,75393.398,146.127
client1,2,75616.659,146.262
client11,2,77647.364,213.82
client4,2,77659.224,205.507
client14,2,78387.83,286.444
client6,3,79765.153,151.078
client8,2,79973.146,148.162
client10,3,81360.237,144.934
client15,3,81865.504,147.353
client9,3,82567.387,146.2
client5,3,83222.538,150.584
client2,3,83351.136,146.208
client12,3,83404.963,168.177
client3,3,83609.055,146.732
client7,3,84052.636,151.456
client1,3,84963.058,150.641
client13,3,85756.675,147.729
client4,3,87273.703,144.978
client11,3,87799.589,194.416
client14,3,87973.453,239.83
client8,3,89125.292,171.91
client6,4,90516.5,147.47
client10,4,91919.483,147.811
client5,4,92594.837,
client15,4,92666.686,
client9,4,92765.616,149.828
client3,4,92995.491,146.599
client2,4,93033.434,181.472
client12,4,93246.379,148.334
client1,4,94592.396,145.841
client7,4,94730.978,148.285
client13,4,95079.187,146.354
client4,4,97785.953,147.155
client11,4,97835.055,217.951
client14,4,98451.737,239.774
client8,4,98667.725,146.93
client6,5,100112.824,148.433
client15,5,101877.121,147.534
client9,5,101927.46,168.987
client2,5,102224.426,148.248
client10,5,102628.269,147.011
client3,5,102713.512,146.719
client12,5,102758.231,173.095
client5,5,103222.443,145.395
client7,5,103900.557,147.184
client1,5,104505.704,146.845
client13,5,105191.729,146.526
client11,5,107558.729,195.429
client14,5,107765.006,241.082
client4,5,107907.813,147.523
client8,5,108878.719,148.487
client6,6,110585.621,148.431
client9,6,111575.635,146.969
client3,6,112011.676,145.784
client2,6,112273.678,152.259
client15,6,112311.511,180.823
client5,6,112633.111,148.274
client10,6,112922.601,151.758
client12,6,113153.097,157.851
client7,6,114725.084,145.435
client1,6,115457.232,148.949
client13,6,115797.291,148.14
client11,6,116809.012,193.157
client14,6,116861.942,239.676
client4,6,118113.254,166.532
client8,6,118121.025,210.362
client6,7,121102.237,150.639
client2,7,121590.349,146.064
client3,7,121674.347,148.619
client9,7,121884.304,146.701
client5,7,122505.271,152.203
client15,7,122674.301,151.191
client10,7,123079.345,167.612
client12,7,123258.035,146.329
client7,7,124233.84,167.4
client13,7,125265.022,147.727
client1,7,126062.023,199.43
client11,7,126222.26,191.782
client14,7,127143.5,236.583
client4,7,127463.545,282.087
client8,7,128093.294,148.578
client3,8,130727.44,146.965
client2,8,130917.817,147.591
client6,8,131417.561,147.203
client15,8,131817.098,147.864
client9,8,131895.258,147.284
client12,8,132790.062,147.991
client5,8,133032.249,147.091
client10,8,133688.613,146.389
client13,8,134859.342,146.825
client7,8,134889.274,190.417
client1,8,136016.327,148.463
client11,8,136351.73,192.84
client4,8,136893.93,145.082
client8,8,137795.835,150.99
client14,8,138025.64,240.633
client3,9,140009.73,147.61
client6,9,140928.659,147.032
client15,9,141158.492,146.975
client2,9,141806.272,146.06
client9,9,142622.559,147.608
client12,9,143394.452,144.882
client10,9,143693.689,145.398
client5,9,143870.618,145.986
client7,9,144069.544,145.637
client13,9,144531.63,149.288
client11,9,146365.08,207.053
client4,9,146492.343,158.807
client1,9,146737.748,157.334
client14,9,147406.178,239.656
client8,9,147560.703,152.251
client3,10,149715.305,147.577
client15,10,150640.822,148.841
client6,10,151435.26,148.054
client2,10,152466.708,148.785
client9,10,152571.815,147.67
client10,10,152694.019,145.39
client12,10,153921.824,145.671
client7,10,154138.096,146.822
client5,10,154309.826,146.273
client13,10,154811.209,148.848
client4,10,155564.734,147.377
client11,10,156453.375,194.519
client1,10,156491.083,182.71
client14,10,157766.566,237.98
client8,10,158098.616,146.572
client3,11,160572.83,146.091
client15,11,161018.253,148.383
client6,11,161131.527,147.523
client9,11,162613.496,148.942
client10,11,162669.617,165.667
client12,11,163026.195,147.39
client2,11,163159.096,146.956
client7,11,163503.535,146.186
client5,11,164651.374,147.505
client4,11,165155.153,148.192
client13,11,165652.503,146.679
client11,11,166237.724,192.86
client1,11,166731.374,149.627
client14,11,167825.975,239.655
client8,11,168423.077,148.647
client3,12,170520.27,148.664
client6,12,170773.086,149.49
client15,12,171342.789,146.248
client2,12,172194.706,146.13
client9,12,172315.921,147.336
client12,12,172370.342,165.777
client10,12,173645.186,145.835
client7,12,173706.814,156.343
client5,12,174236.882,146.728
client13,12,174847.84,147.13
client4,12,174987.569,146.129
client11,12,176477.303,199.873
client1,12,176562.053,148.956
client14,12,178183.416,240.458
client8,12,179305.536,146.703
client6,13,180218.344,148.24
client3,13,180254.687,190.546
client15,13,181582.233,145.811
