source_node,packet_id,request_ms,e2e_delay_ms
client5,1,61987.721,27.775
client9,1,62254.618,24.01
client1,1,62957.649,24.059
client10,1,63046.613,23.997
client4,1,63175.643,23.422
client8,1,63378.68,23.391
client3,1,64606.967,23.194
client15,1,65058.064,23.078
client7,1,65328.958,28.097
client13,1,66036.189,25.51
client11,1,66839.488,22.827
client14,1,67307.323,36.39
client6,1,67565.974,23.157
client12,1,67870.846,27.767
client2,1,68209.154,27.798
client5,2,72295.918,22.674
client4,2,72372.314,24.873
client9,2,72483.31,24.112
client1,2,73351.008,24.608
client8,2,73402.002,24.321
client10,2,73616.861,25.159
client3,2,75208.311,25.596
client15,2,75878.623,22.716
client7,2,75981.512,22.619
client13,2,76620.75,21.658
client12,2,77058.552,23.749
client6,2,77217.554,23.489
client11,2,77279.172,24.759
client14,2,77466.817,37.067
client2,2,78465.219,24.347
client9,3,81861.396,28.124
client8,3,82848.282,22.685
client5,3,82922.498,23.681
client4,3,83205.306,23.681
client10,3,83225.858,23.242
client1,3,83495.168,23.334
client7,3,85164.285,23.198
client3,3,85306.553,23.641
client15,3,86102.561,25.035
client6,3,86550.345,22.579
client12,3,87062.519,22.071
client11,3,87192.166,25.619
client13,3,87528.88,23.45
client14,3,87961.854,34.605
client2,3,88392.784,24.534
client9,4,91105.922,23.071
client10,4,92303.444,23.917
client5,4,92333.529,24.327
client4,4,92515.995,25.4
client8,4,92802.79,22.009
client1,4,93045.769,24.253
client7,4,94699.148,27.802
client3,4,95127.426,27.976
client15,4,95806.083,29.879
client12,4,96230.678,23.769
client6,4,96356.11,28.88
client11,4,96468.771,28.604
client13,4,96762.585,23.717
client14,4,97547.368,32.388
client2,4,97952.419,23.654
client9,5,101304.465,21.512
client4,5,102244.449,25.303
client5,5,102502.97,24.838
client1,5,102800.167,23.835
client8,5,103039.827,21.963
client10,5,103073.892,23.145
client7,5,103851.514,22.761
client3,5,104988.776,29.14
client15,5,105190.702,22.862
client11,5,105489.829,28.999
client12,5,106403.11,22.749
client6,5,106715.308,27.562
client13,5,107127.01,23.366
client2,5,107336.245,29.586
client14,5,108025.637,40.328
client9,6,110466.079,22.826
client8,6,112191.264,22.451
client10,6,112349.927,22.21
client5,6,112374.921,22.917
client4,6,112967.13,23.555
client1,6,113701.558,24.598
client3,6,114393.656,22.221
client7,6,114529.695,28.281
client11,6,115642.564,23.25
client6,6,115893.64,22.892
client15,6,115991.424,23.19
client12,6,117157.447,24.804
client13,6,117239.387,25.812
client14,6,117338.338,35.183
client2,6,117873.433,21.942
client9,7,120113.909,23.371
client8,7,121734.649,29.498
client4,7,122581.471,24.837
client1,7,123047.73,45.879
client5,7,123087.211,28.885
client10,7,123268.129,29.088
client7,7,123700.104,27.032
client3,7,123780.951,24.27
client15,7,125201.963,24.05
client6,7,125491.274,23.968
client11,7,125678.947,22.911
client14,7,126436.092,33.646
client12,7,126669.773,23.202
client2,7,127556.449,23.847
client13,7,127844.379,21.491
client9,8,130125.345,21.949
client8,8,131945.435,23.603
client4,8,132704.4,23.378
client1,8,132960.395,24.486
client7,8,133207.422,23.771
client3,8,133442.273,22.714
client5,8,133525.339,23.874
client10,8,133827.276,24.838
client15,8,135677.354,24.479
client6,8,135963.279,21.744
client11,8,136554.32,21.951
client12,8,136774.308,22.805
client14,8,137036.68,30.967
client13,8,137312.989,22.335
client2,8,137604.881,22.429
client9,9,140341.934,22.515
client8,9,141916.862,24.099
client7,9,142440.949,24.162
client4,9,142908.921,21.432
client5,9,143867.948,22.396
client1,9,143911.134,21.657
client3,9,144061.039,23.396
client10,9,144536.852,24.037
client15,9,144820.973,22.46
client12,9,146136.852,23.109
client6,9,146279.91,21.859
client2,9,146922.283,22.962
client11,9,147153.886,23.503
client13,9,147571.382,24.004
client14,9,147918.259,34.913
client9,10,151068.722,23.967
client4,10,152260.712,24.711
client8,10,152727.694,30.161
client7,10,153096.538,24.954
client3,10,153113.804,31.201
client5,10,153452.385,23.518
client1,10,153509.738,23.797
client10,10,154830.496,24.607
client6,10,155437.677,25.149
client15,10,155554.564,23.397
client12,10,155668.42,23.206
client2,10,156249.442,24.796
client13,10,157165.337,22.316
client11,10,157283.623,24.07
client14,10,157298.791,43.119
client9,11,161018.224,22.723
client3,11,162286.496,29.107
client8,11,162430.428,25.217
client4,11,163004.297,24.089
client7,11,163147.051,28.267
client5,11,163657.257,29.095
client1,11,164115.207,21.862
client15,11,164895.231,24.563
client6,11,164976.105,45.818
client10,11,164987.126,
client12,11,165775.055,24.094
client13,11,166839.097,22.031
client2,11,167060.156,24.098
client11,11,167296.365,27.103
client14,11,167659.654,47.297
client9,12,171059.867,25.667
client3,12,171570.271,27.94
client8,12,172195.19,29.861
client7,12,172327.829,26.964
client4,12,172434.013,23.736
client5,12,173126.838,22.64
client1,12,173318.078,23.665
client15,12,174378.915,24.793
client6,12,174486.854,23.656
client10,12,175906.695,28.96
client12,12,176380.557,24.204
client13,12,177117.687,22.055
client2,12,177229.523,26.011
client11,12,177386.105,25.691
client14,12,177719.295,32.993
