source_node,packet_id,request_ms,e2e_delay_ms
client1,1,65499.3,3.9
client5,1,65594.4,3.9
client6,1,65757.8,6.3
client9,1,69754.7,9.3
client10,1,71604.6,3.9
client15,1,71640.1,6.3
client14,1,71976.4,7.5
client4,1,72344.0,6.3
client2,1,72703.6,3.9
client3,1,73051.9,8.5
client12,1,73878.9,7.5
client7,1,74081.7,7.5
client13,1,74184.6,3.9
client8,1,74388.6,5.1
client1,2,75026.3,3.9
client5,2,75493.6,3.9
client11,1,75735.6,6.3
client6,2,76138.8,6.3
client9,2,80271.8,7.5
client14,2,81288.7,7.5
client2,2,82042.0,3.9
client10,2,82121.8,3.9
client15,2,82405.4,6.3
client4,2,82561.5,6.3
client3,2,83249.6,3.9
client12,2,83352.1,7.5
client13,2,83657.9,3.9
client7,2,83904.1,7.5
client1,3,84536.8,3.9
client8,2,84770.0,5.1
client11,2,84962.1,6.3
client6,3,85242.3,6.3
client5,3,85789.1,3.9
client14,3,90962.1,7.5
client9,3,91262.2,7.5
client10,3,91310.2,3.9
client2,3,91560.2,3.9
client15,3,91678.8,6.3
client4,3,92152.8,6.3
client12,3,92577.5,7.5
client13,3,92883.4,3.9
client3,3,93073.9,3.9
client7,3,94284.3,7.5
client6,4,94462.5,6.3
client1,4,94939.1,3.9
client11,3,95124.2,6.4
client8,3,95167.2,5.1
client5,4,96550.3,3.9
client14,4,100301.4,7.5
client15,4,101225.0,6.3
client4,4,101637.1,6.3
client9,4,101920.4,7.5
client2,4,101977.4,3.9
client10,4,102301.4,3.9
client3,4,102411.2,3.9
client12,4,102740.8,7.5
client13,4,103046.7,3.9
client6,5,103971.8,6.3
client8,4,104271.4,5.1
client11,4,104388.5,6.3
client7,4,104682.5,7.5
client1,5,104750.4,3.9
client5,5,106768.3,3.9
client15,5,110765.2,6.3
client9,5,111077.5,7.5
client14,5,111097.6,7.5
client2,5,111422.4,3.9
client3,5,111930.4,3.9
client12,5,112004.9,7.5
client4,5,112165.3,6.3
client13,5,112310.4,3.9
client10,5,112959.6,3.9
client8,5,113491.4,5.1
client1,6,113766.3,3.9
client7,5,113787.0,7.5
client6,6,113963.1,6.3
