source_node,packet_id,request_ms,e2e_delay_ms
client1,1,65498.5,2.1
client6,1,65756.2,3.4
client12,1,67155.9,4.0
client7,1,67161.1,
client13,1,67361.8,2.1
client4,1,68180.0,
client9,1,69753.8,3.4
client10,1,71603.4,2.1
client15,1,71638.502,6.198
client2,1,71728.2,
client14,1,71975.3,3.4
client5,1,72649.6,2.1
client3,1,73050.4,2.8
client8,1,74549.9,2.2
client1,2,75025.8,2.1
client11,1,75734.5,3.4
client6,2,76137.7,3.4
client7,2,77242.8,
client12,2,77257.9,4.0
client13,2,78157.3,2.8
client4,2,78990.9,
client9,2,80270.4,3.4
client15,2,80828.2,3.4
client14,2,81648.9,3.4
client10,2,82121.0,2.1
client2,2,82490.6,
client5,2,82867.4,2.1
client3,2,83341.2,2.8
client8,2,84765.8,2.1
client11,2,84960.3,3.4
client6,3,85241.5,3.4
client1,3,85877.6,2.1
client7,3,86532.7,
client12,3,87788.7,4.0
client13,3,87931.0,2.8
client4,3,89192.8,
client9,3,89459.2,3.4
client14,3,90988.7,3.4
client10,3,91309.8,2.1
client15,3,91593.9,3.4
client5,3,92459.0,2.1
client2,3,92708.3,
client3,3,93165.8,2.8
client6,4,94462.1,3.4
client8,3,94587.3,2.2
client11,3,95123.9,3.4
client7,4,95726.2,
client1,4,96121.2,2.1
client13,4,97629.6,2.8
client12,4,98255.3,4.0
client4,4,99001.5,
client9,4,100450.8,3.4
client15,4,100866.5,3.4
client14,4,101784.3,3.4
client5,4,101942.6,2.1
client2,4,102300.0,
client10,4,102300.4,2.1
client3,4,102503.4,2.8
client6,5,103970.7,3.4
client11,4,104387.5,3.4
client7,5,104922.9,
client8,4,104969.0,2.1
client1,5,105631.8,2.1
client12,5,107728.9,
client13,5,107731.816,2.784
client4,5,109042.2,
client15,5,110412.503,3.497
client9,5,111108.6,3.4
client14,5,111557.3,3.4
client2,5,111783.7,
client3,5,112022.3,2.8
client5,5,112471.3,2.1
client10,5,112958.3,2.1
