time_s,node,event
7.751,5,assoc
7.751,6,assoc
15.101,12,assoc
15.101,4,assoc
15.101,8,assoc
29.531,10,assoc
29.531,2,assoc
29.531,7,assoc
30.502,6,send
30.516264,6,recv
34.402,5,send
34.416264000000005,5,recv
35.18,6,send
35.196264,6,recv
35.218,8,send
35.226264,8,recv
35.443,4,send
35.466264,4,recv
37.986019999999996,12,send
38.016264,12,recv
39.443,5,send
39.456264000000004,5,recv
40.046,8,send
40.056264000000006,8,recv
40.666,6,send
40.686264,6,recv
40.723,4,send
40.746264000000004,4,recv
43.095,12,send
43.206264000000004,12,recv
44.79602,5,send
44.826264,5,recv
45.077,8,send
45.096264000000005,8,recv
45.287,4,send
45.306264000000006,4,recv
46.612,6,send
46.626264000000006,6,recv
48.264,12,send
48.276264000000005,12,recv
48.943,5,send
48.966264,5,recv
49.121,11,assoc
49.121,15,assoc
49.832,8,send
49.866264,8,recv
51.207,4,send
51.216264,4,recv
51.25,6,send
51.276264000000005,6,recv
52.423,2,send
52.446264,2,recv
52.99,12,send
53.016264,12,recv
53.575,7,send
53.586264,7,recv
54.606019999999994,5,send
54.636264000000004,5,recv
54.725019999999994,10,send
54.756264,10,recv
54.942,8,send
54.966264,8,recv
55.426,6,send
55.446264,6,recv
55.692,4,send
55.716264,4,recv
57.299,2,send
57.306264000000006,2,recv
58.402,7,send
58.416264000000005,7,recv
58.573,12,send
58.596264000000005,12,recv
58.715019999999996,5,send
58.746264000000004,5,recv
59.178,10,send
59.196264,10,recv
59.512,8,send
59.526264000000005,8,recv
60.87602,4,send
60.906264,4,recv
61.127,6,send
61.146264,6,recv
62.878,7,send
62.886264000000004,7,recv
63.189,2,send
63.216264,2,recv
63.622,12,send
63.636264000000004,12,recv
64.602,5,send
64.626264,5,recv
65.03,8,send
65.04626400000001,8,recv
65.063,10,send
65.07626400000001,10,recv
66.247,11,send
66.276264,11,recv
66.59,6,send
66.606264,6,recv
66.862,4,send
66.87626399999999,4,recv
66.982,7,send
66.996264,7,recv
68.732,15,send
68.76626399999999,15,recv
69.118,2,send
69.12626399999999,2,recv
69.148,12,send
69.156264,12,recv
69.577,5,send
69.606264,5,recv
69.737,10,send
69.756264,10,recv
70.511,3,assoc
70.549,11,send
70.56626399999999,11,recv
70.749,6,send
70.776264,6,recv
70.854,8,send
70.866264,8,recv
