time_s,node,event
8.141,4,assoc
8.141,7,assoc
15.131,10,assoc
15.131,12,assoc
15.131,2,assoc
15.131,3,assoc
15.131,6,assoc
24.39602,4,send
24.426264,4,recv
25.602,7,send
25.626264,7,recv
28.031,16,assoc
30.263,4,send
30.276263999999998,4,recv
30.99602,7,send
31.026263999999998,7,recv
32.017,2,send
32.046264,2,recv
35.036,7,send
35.046264,7,recv
35.262,4,send
35.286264,4,recv
36.236,2,send
36.246264000000004,2,recv
37.68602,6,send
37.716264,6,recv
38.541,3,send
38.556264000000006,3,recv
39.311,14,assoc
39.311,8,assoc
39.311,9,assoc
39.725019999999994,7,send
39.756264,7,recv
39.941,4,send
39.966264,4,recv
40.29602,12,send
40.326264,12,recv
41.293,16,send
41.316264000000004,16,recv
42.206,2,send
42.216264,2,recv
42.57602,6,send
42.606264,6,recv
42.645,10,send
42.666264000000005,10,recv
43.776019999999995,3,send
43.806264000000006,3,recv
44.63,7,send
44.646264,7,recv
44.935,12,send
44.946264,12,recv
45.469,4,send
45.486264000000006,4,recv
46.455,16,send
46.476264,16,recv
46.841,15,assoc
46.95502,10,send
46.986264000000006,10,recv
47.243,2,send
47.256264,2,recv
47.829,3,send
47.856264,3,recv
48.309,6,send
48.336264,6,recv
49.53601999999999,4,send
49.566264000000004,4,recv
49.86602,7,send
49.896264,7,recv
49.929,12,send
49.956264000000004,12,recv
50.904,16,send
50.916264000000005,16,recv
51.34,2,send
51.366264,2,recv
51.765,10,send
51.786264,10,recv
52.145019999999995,3,send
52.176264,3,recv
52.499,6,send
52.506264,6,recv
53.552,4,send
53.586264,4,recv
54.185019999999994,12,send
54.216264,12,recv
54.913,7,send
54.932,16,send
54.936264,7,recv
54.966264,16,recv
56.814,2,send
56.826264,2,recv
56.861,3,send
56.886264000000004,3,recv
56.994,10,send
57.006264,10,recv
58.237,6,send
58.266264,6,recv
58.345,4,send
58.356264,4,recv
58.361,12,send
58.386264000000004,12,recv
60.00602,16,send
60.036264,16,recv
60.052,7,send
60.066264000000004,7,recv
60.581,11,assoc
60.87602,9,send
60.906264,9,recv
61.251,3,send
61.266264,3,recv
61.83602,8,send
61.866264,8,recv
62.25602,2,send
62.286264,2,recv
62.789,10,send
62.796264,10,recv
63.001,12,send
63.006264,12,recv
63.032,4,send
63.066264000000004,4,recv
63.606019999999994,6,send
63.636264000000004,6,recv
64.50601999999999,14,send
64.536264,14,recv
64.696,7,send
64.71626400000001,7,recv
65.34,3,send
65.346264,3,recv
65.488,16,send
65.496264,16,recv
65.809,9,send
65.826264,9,recv
67.16,8,send
67.17626399999999,8,recv
67.931,13,assoc
67.931,5,assoc
67.98602000000001,10,send
68.01626399999999,10,recv
68.205,2,send
68.226264,2,recv
68.389,4,send
68.406264,4,recv
68.654,12,send
68.67626399999999,12,recv
68.982,14,send
69.006264,14,recv
69.068,7,send
69.076,6,send
69.12626399999999,7,recv
69.156264,6,recv
70.02602,9,send
70.056264,9,recv
70.274,16,send
70.296264,16,recv
71.264,3,send
71.28626399999999,3,recv
72.738,8,send
72.756264,8,recv
72.767,2,send
72.78626399999999,2,recv
72.99602,4,send
73.026264,4,recv
73.178,14,send
73.20626399999999,14,recv
73.297,10,send
73.326264,10,recv
73.495,12,send
73.506264,12,recv
74.265,9,send
74.28626399999999,9,recv
74.401,16,send
74.406264,16,recv
74.491,6,send
74.496264,6,recv
74.85502000000001,7,send
74.886264,7,recv
75.861,11,send
75.87626399999999,11,recv
76.2,15,send
76.20626399999999,15,recv
76.975,3,send
76.98626399999999,3,recv
77.905,8,send
77.916264,8,recv
78.144,12,send
78.156264,12,recv
78.27,10,send
78.276264,10,recv
78.51602,2,send
78.546264,2,recv
78.789,14,send
78.81626399999999,14,recv
78.84602000000001,4,send
78.87626399999999,4,recv
78.951,9,send
78.966264,9,recv
79.634,16,send
79.656264,16,recv
79.906,6,send
79.92626399999999,6,recv
80.21,7,send
80.226264,7,recv
81.06602000000001,3,send
81.09626399999999,3,recv
81.141,15,send
81.156264,15,recv
81.781,11,send
81.78626399999999,11,recv
81.946,8,send
81.966264,8,recv
82.44602,12,send
82.476264,12,recv
83.003,9,send
83.01626399999999,9,recv
83.026,10,send
83.046264,10,recv
83.175,2,send
83.186,4,send
83.226264,4,recv
83.256264,2,recv
83.93,14,send
83.946264,14,recv
84.534,6,send
84.546264,6,recv
85.152,16,send
85.17626399999999,16,recv
85.243,15,send
85.26626399999999,15,recv
85.637,7,send
85.656264,7,recv
86.066,3,send
86.076264,3,recv
87.318,11,send
87.336264,11,recv
87.703,8,send
87.726264,8,recv
87.821,12,send
87.84626399999999,12,recv
88.158,9,send
88.17626399999999,9,recv
88.26,14,send
88.26626399999999,14,recv
88.592,6,send
88.607,13,send
88.625624,4,send
88.656264,4,recv
88.686264,13,recv
88.746264,6,recv
88.95502,10,send
88.98626399999999,10,recv
89.125,2,send
89.136264,2,recv
89.497,16,send
89.526264,16,recv
89.838,15,send
89.856264,15,recv
89.979,7,send
90.006264,7,recv
90.866,3,send
90.87626399999999,3,recv
90.992,5,send
91.026264,5,recv
92.081,12,send
92.106264,12,recv
92.879,14,send
92.886264,14,recv
92.89,11,send
92.916264,11,recv
93.12502,8,send
93.156264,8,recv
93.667,16,send
93.696264,16,recv
93.832,2,send
93.84626399999999,2,recv
93.858,6,send
93.87626399999999,6,recv
93.891,9,send
93.906264,9,recv
94.249,10,send
94.26626399999999,10,recv
94.312,13,send
94.326264,13,recv
94.365,4,send
94.386264,4,recv
94.882,3,send
94.896264,3,recv
95.199,7,send
95.226264,7,recv
95.47,15,send
95.496264,15,recv
95.879,5,send
95.886264,5,recv
96.66602,12,send
96.696264,12,recv
97.422,11,send
97.446264,11,recv
97.462,8,send
97.476264,8,recv
97.575,14,send
97.59626399999999,14,recv
98.121,6,send
98.136264,6,recv
98.369,10,send
98.37626399999999,10,recv
98.67502,13,send
98.70626399999999,13,recv
98.929,9,send
98.946264,9,recv
99.371,2,send
99.374,16,send
99.424624,3,send
99.42626399999999,2,recv
99.45626399999999,3,recv
99.48626399999999,16,recv
99.675,15,send
99.695624,4,send
99.696264,15,recv
99.726264,4,recv
99.926,7,send
99.936264,7,recv
100.052,5,send
100.086264,5,recv
101.28502,12,send
101.31626399999999,12,recv
101.747,8,send
101.754,14,send
101.826264,8,recv
101.886264,14,recv
102.697,6,send
102.726264,6,recv
102.896,11,send
102.906264,11,recv
103.021,10,send
103.026264,10,recv
104.023,13,send
104.046264,13,recv
104.16602,3,send
104.196264,3,recv
104.337,16,send
104.34626399999999,16,recv
104.40502000000001,9,send
104.436264,9,recv
104.723,2,send
104.73626399999999,2,recv
104.75,5,send
104.76626399999999,5,recv
105.037,4,send
105.06626399999999,4,recv
105.132,7,send
105.156264,7,recv
105.48602000000001,15,send
105.51626399999999,15,recv
106.068,8,send
106.086264,8,recv
106.645,12,send
106.656264,12,recv
106.801,14,send
106.806264,14,recv
107.418,6,send
107.436264,6,recv
107.479,10,send
107.496264,10,recv
108.177,11,send
108.186264,11,recv
108.428,9,send
108.45626399999999,9,recv
108.807,16,send
108.81626399999999,16,recv
109.014,13,send
109.026264,13,recv
109.216,3,send
109.23626399999999,3,recv
109.5,4,send
109.506264,4,recv
109.542,5,send
109.56626399999999,5,recv
110.474,2,send
110.496264,2,recv
110.904,7,send
110.916264,7,recv
110.987,15,send
111.006264,15,recv
111.017,8,send
111.03626399999999,8,recv
111.598,6,send
111.606264,6,recv
111.63602,10,send
111.666264,10,recv
112.426,14,send
112.446264,14,recv
112.47502,12,send
112.506264,12,recv
113.119,11,send
113.136264,11,recv
113.22,16,send
113.226264,16,recv
113.508,9,send
113.526264,9,recv
113.779,3,send
113.796264,3,recv
113.845,5,send
113.856264,5,recv
114.03502,4,send
114.06626399999999,4,recv
114.763,13,send
114.78626399999999,13,recv
115.319,8,send
115.326264,8,recv
115.669,7,send
115.686264,7,recv
116.218,10,send
116.226264,10,recv
116.442,2,send
116.466264,2,recv
116.982,15,send
117.006264,15,recv
117.03502,14,send
117.06626399999999,14,recv
117.496,6,send
117.51626399999999,6,recv
117.879,12,send
117.906264,12,recv
118.098,5,send
118.116264,5,recv
118.282,11,send
118.296264,11,recv
118.34,16,send
118.356264,16,recv
118.514,3,send
118.53626399999999,3,recv
118.89602000000001,9,send
118.92626399999999,9,recv
119.40602,4,send
119.436264,4,recv
120.111,13,send
120.12626399999999,13,recv
120.641,8,send
120.666264,8,recv
120.77,7,send
120.78626399999999,7,recv
121.05602,2,send
121.063,15,send
121.11602,10,send
121.17626399999999,15,recv
121.20626399999999,10,recv
121.26626399999999,2,recv
121.937,6,send
121.95626399999999,6,recv
122.001,14,send
122.01626399999999,14,recv
122.247,12,send
122.256264,12,recv
122.58502,5,send
122.616264,5,recv
123.5,16,send
123.51626399999999,16,recv
123.57602,9,send
123.606264,9,recv
123.768,3,send
123.78626399999999,3,recv
124.276,11,send
124.296264,11,recv
125.03,4,send
125.046264,4,recv
125.236,8,send
125.24,2,send
125.31626399999999,2,recv
125.34626399999999,8,recv
125.58602,7,send
125.616264,7,recv
125.837,13,send
125.856264,13,recv
126.4,10,send
126.42626399999999,10,recv
126.95,12,send
126.966264,12,recv
127.02602,15,send
127.056264,15,recv
127.121,6,send
127.146264,6,recv
127.243,5,send
127.26626399999999,5,recv
127.858,14,send
127.866264,14,recv
128.189,9,send
128.19626399999999,9,recv
128.497,3,send
128.526264,3,recv
128.865,11,send
128.88626399999998,11,recv
128.929,16,send
128.94626399999999,16,recv
129.887,13,send
129.906264,13,recv
130.074,2,send
130.086264,2,recv
130.632,8,send
130.643,7,send
130.686264,7,recv
130.716264,8,recv
130.906,4,send
130.926264,4,recv
131.691,5,send
131.699,10,send
131.766264,5,recv
131.826264,10,recv
132.444,12,send
132.456264,12,recv
132.709,15,send
132.726264,15,recv
133.03,3,send
133.047,6,send
133.116264,3,recv
133.176264,6,recv
133.394,14,send
133.41626399999998,14,recv
133.538,16,send
133.565624,9,send
133.566264,16,recv
133.596264,9,recv
134.157,2,send
134.16626399999998,2,recv
134.19601999999998,11,send
134.226264,11,recv
135.132,8,send
135.156264,8,recv
135.318,13,send
135.336264,13,recv
135.621,4,send
135.63626399999998,4,recv
136.212,5,send
136.236264,5,recv
136.337,10,send
136.35626399999998,10,recv
136.364,7,send
136.38626399999998,7,recv
136.778,12,send
136.806264,12,recv
137.249,6,send
137.256264,6,recv
137.804,15,send
137.82,14,send
137.91626399999998,14,recv
137.94626399999999,15,recv
138.416,9,send
138.426264,9,recv
138.93601999999998,3,send
138.966264,3,recv
138.976,16,send
138.996264,16,recv
139.50601999999998,8,send
139.535624,13,send
139.536264,8,recv
139.566264,13,recv
139.831,11,send
139.836264,11,recv
139.98602,2,send
140.016264,2,recv
140.82602,12,send
140.85626399999998,12,recv
140.893,4,send
140.91626399999998,4,recv
141.109,5,send
141.126264,5,recv
141.471,6,send
141.486264,6,recv
141.551,7,send
141.576264,7,recv
142.178,10,send
142.206264,10,recv
142.764,9,send
142.776264,9,recv
142.818,15,send
142.836264,15,recv
143.42,14,send
143.436264,14,recv
143.52602,8,send
143.556264,8,recv
143.592,13,send
143.616,16,send
143.616264,13,recv
143.646264,16,recv
143.85602,3,send
143.88626399999998,3,recv
143.902,11,send
143.91626399999998,11,recv
144.827,2,send
144.846264,2,recv
145.226,4,send
145.236264,4,recv
145.62601999999998,12,send
145.656264,12,recv
145.997,5,send
146.016264,5,recv
146.444,6,send
146.466264,6,recv
146.551,10,send
146.556264,10,recv
146.867,15,send
146.88626399999998,15,recv
147.074,7,send
147.096264,7,recv
147.558,14,send
147.576264,14,recv
147.659,13,send
147.66626399999998,13,recv
147.759,9,send
147.786264,9,recv
147.953,3,send
147.966264,3,recv
148.093,16,send
148.116264,16,recv
148.158,11,send
148.176264,11,recv
149.421,8,send
149.436264,8,recv
150.18601999999998,12,send
