time_s,node,event
4.762155171000001,client-2,assoc
15.892233628,client-8,assoc
15.896016739,client-1,assoc
27.23738115,client-2,send
27.26750368,client-2,recv
29.303673868,client-5,assoc
29.304446163,client-9,assoc
30.687340043,client-1,send
30.717472174999997,client-1,recv
33.177335277,client-2,send
33.207535711,client-2,recv
33.837410807,client-8,send
33.867583241,client-8,recv
36.147495411,client-1,send
36.177452333,client-1,recv
37.042230478,client-13,assoc
37.042242999,client-7,assoc
37.043682374999996,client-11,assoc
37.044459521,client-6,assoc
37.045205128,client-10,assoc
37.377532374000005,client-2,send
37.407535108999994,client-2,recv
38.487424461,client-8,send
38.517537927999996,client-8,recv
40.73759015,client-1,send
40.767568659999995,client-1,recv
41.90749687,client-2,send
41.937524001,client-2,recv
43.917483927,client-8,send
44.217737181,client-8,recv
45.987482627999995,client-1,send
46.017678566,client-1,recv
47.337230608,client-2,send
47.36744891,client-2,recv
47.997227619,client-8,send
48.027738578,client-8,recv
50.007882961,client-1,send
50.037904757,client-1,recv
50.907485947,client-5,send
50.997910441,client-5,recv
53.277878636000004,client-2,send
53.307614421,client-2,recv
53.457622853000004,client-8,send
53.487823589,client-8,recv
54.027666239,client-13,send
54.057764354999996,client-13,recv
54.387598593,client-11,send
54.417812091,client-11,recv
54.41797428,client-1,send
54.447704329,client-1,recv
54.927612163,client-5,send
54.957963332,client-5,recv
56.969342639000004,client-10,send
56.997760155,client-10,recv
57.597567788,client-2,send
57.74790359,client-2,recv
57.927864463999995,client-9,send
57.95792008,client-9,recv
58.467676157,client-1,send
58.497780349,client-1,recv
58.587625974000005,client-13,send
58.61788258,client-13,recv
58.797738169,client-11,send
58.827808338000004,client-11,recv
59.427776363999996,client-8,send
59.457900310999996,client-8,recv
60.027571481,client-6,send
60.057896474,client-6,recv
60.957663341,client-5,send
61.01774369,client-10,send
61.048069799,client-5,recv
61.138000508,client-10,recv
61.197632799,client-7,send
61.228006603000004,client-7,recv
61.977613046,client-9,send
62.007952687999996,client-9,recv
62.337650963,client-2,send
62.367544411000004,client-2,recv
62.997680103,client-1,send
63.027944043000005,client-1,recv
63.267588444,client-13,send
63.298025599,client-13,recv
63.717739296,client-8,send
63.747891167,client-8,recv
64.67753418699999,client-6,send
64.70798548399999,client-6,recv
64.797807451,client-11,send
64.82801531599999,client-11,recv
65.487866316,client-5,send
65.51797215799999,client-5,recv
65.937747307,client-10,send
65.967981774,client-10,recv
66.387678063,client-9,send
66.41797414400001,client-9,recv
66.50787819,client-7,send
66.53808074999999,client-7,recv
66.867666119,client-2,send
66.897905004,client-2,recv
67.317906326,client-13,send
67.34797700899999,client-13,recv
68.067654107,client-8,send
68.09791906299999,client-8,recv
68.487644388,client-1,send
68.517954447,client-1,recv
68.847695761,client-11,send
