time_s,node,event
4.7655477920000004,client-2,assoc
15.891930794,client-1,assoc
15.896881792,client-8,assoc
27.177432505000002,client-2,send
27.207175763,client-2,recv
29.302336688,client-9,assoc
29.307923122000002,client-5,assoc
31.320386719,client-2,send
31.377343847,client-2,recv
33.082790391,client-4,assoc
33.084687044999995,client-3,assoc
33.085536962,client-7,assoc
33.088781733000005,client-15,assoc
34.677702604,client-1,send
34.707414997,client-1,recv
36.747751077000004,client-2,send
36.777531759999995,client-2,recv
39.269612862,client-1,send
39.32756569,client-1,recv
40.317581960000005,client-9,send
40.469994247,client-9,recv
40.525116374999996,client-11,assoc
40.525957166,client-10,assoc
41.277709562,client-2,send
41.307904453000006,client-2,recv
43.557443435,client-8,send
43.587493924,client-8,recv
44.517396953,client-1,send
44.552411453,client-1,recv
45.057720970000005,client-9,send
45.087691796,client-9,recv
46.738144354,client-2,send
46.76822315,client-2,recv
47.007700084,client-5,send
47.037799660999994,client-5,recv
48.957710057999996,client-8,send
48.987702688999995,client-8,recv
49.077716806,client-1,send
49.107754361,client-1,recv
49.739466606,client-9,send
49.977877078999995,client-9,recv
50.75802374,client-2,send
50.788381798,client-2,recv
51.027807448,client-5,send
51.057933153,client-5,recv
51.627683708,client-3,send
51.657722854,client-3,recv
51.957760228,client-7,send
51.98801558,client-7,recv
52.827494979,client-15,send
52.85794755,client-15,recv
53.787436936999995,client-9,send
53.817776725,client-9,recv
54.417457853,client-8,send
54.447870187,client-8,recv
55.078121147,client-1,send
55.107982859,client-1,recv
55.168384698000004,client-2,send
55.198361073,client-2,recv
55.947950283,client-5,send
55.978206561,client-5,recv
56.487963424,client-7,send
56.517981248,client-7,recv
56.547691275999995,client-4,send
56.57794724,client-4,recv
57.117665863,client-3,send
57.147718219000005,client-3,recv
57.147731192,client-15,send
57.177892892,client-15,recv
59.007924158,client-8,send
59.038217278999994,client-8,recv
59.128001426000004,client-1,send
59.158350532,client-1,recv
59.277793889,client-9,send
59.307995283,client-9,recv
59.367771135000005,client-11,send
59.398145083,client-11,recv
60.56256485,client-12,assoc
60.564290033999995,client-6,assoc
60.777868171,client-4,send
60.808018959,client-4,recv
61.198337284000004,client-2,send
61.228370861,client-2,recv
61.437821222,client-3,send
61.437834484,client-5,send
61.467920045,client-5,recv
61.558474604000004,client-5,recv
61.797807669,client-7,send
61.858125629,client-7,recv
61.887772882,client-15,send
61.918140318,client-15,recv
63.329705713,client-8,send
63.358407983999996,client-8,recv
63.597832348000004,client-9,send
63.627980658,client-9,recv
63.897678359,client-11,send
63.927900505,client-11,recv
64.438459209,client-1,send
64.468441341,client-1,recv
65.668204019,client-5,send
65.698317432,client-5,recv
66.09011978,client-2,send
66.12017554100001,client-7,send
66.120188978,client-10,send
66.148057589,client-10,recv
66.17849042,client-2,recv
66.238214328,client-10,recv
66.447784451,client-15,send
66.478111967,client-15,recv
66.627821636,client-4,send
66.658054955,client-4,recv
67.257984685,client-3,send
67.288161706,client-3,recv
67.31871177,client-2,send
67.348881909,client-8,send
67.37849476299999,client-8,recv
67.409476333,client-2,recv
68.668116215,client-1,send
68.698577741,client-1,recv
68.820246482,client-11,send
68.84819422400001,client-11,recv
69.447894598,client-9,send
69.478012385,client-9,recv
70.76768509,client-7,send
70.798114701,client-7,recv
71.128281825,client-5,send
71.158356958,client-5,recv
71.217918021,client-10,send
71.24804232,client-10,recv
71.457859504,client-4,send
71.488071347,client-4,recv
71.758224271,client-8,send
71.78813328,client-8,recv
72.177710179,client-3,send
72.20828718899999,client-3,recv
72.477859717,client-15,send
72.508121619,client-15,recv
73.647899748,client-11,send
73.678193048,client-11,recv
74.12773061300001,client-6,send
74.15825437,client-6,recv
74.518275371,client-1,send
74.548429497,client-1,recv
74.818189721,client-9,send
74.848209511,client-9,recv
75.778247337,client-8,send
75.808332256,client-8,recv
75.98791716500001,client-12,send
76.01819323999999,client-12,recv
76.13777965700001,client-7,send
76.168060931,client-7,recv
76.49813646599999,client-5,send
76.528305191,client-5,recv
76.67788002,client-10,send
76.708166293,client-10,recv
77.367846153,client-4,send
77.39804000199999,client-4,recv
77.398204788,client-15,send
77.42817839499999,client-15,recv
77.698045579,client-3,send
77.728289929,client-3,recv
78.567876936,client-11,send
78.598123851,client-11,recv
79.49829086,client-9,send
79.528516944,client-9,recv
79.88821695600001,client-1,send
79.91834298,client-1,recv
79.918356293,client-6,send
79.94850817,client-6,recv
80.30834463199999,client-12,send
80.338589519,client-12,recv
80.817677004,client-7,send
80.84797984299999,client-7,recv
80.966325915,client-13,assoc
81.17791315199999,client-5,send
81.20819521,client-5,recv
81.267753554,client-8,send
81.298167315,client-8,recv
81.507765773,client-4,send
81.538168727,client-4,recv
81.717815587,client-15,send
81.748247318,client-15,recv
81.868393579,client-3,send
81.898621784,client-3,recv
82.19794394300001,client-10,send
82.22858409,client-10,recv
83.66829293900001,client-9,send
83.698538496,client-9,recv
83.938073559,client-11,send
83.96852106899999,client-11,recv
83.998289051,client-6,send
84.028511138,client-6,recv
84.957938054,client-7,send
85.19843951,client-7,recv
85.467730091,client-1,send
85.497881781,client-1,recv
85.497895678,client-8,send
85.528038063,client-8,recv
85.528051085,client-12,send
85.558600763,client-12,recv
85.857748205,client-4,send
85.888460854,client-4,recv
86.24789109400001,client-5,send
86.278193932,client-5,recv
86.51829480800001,client-15,send
86.54844159299999,client-15,recv
86.63861105199999,client-3,send
86.668696982,client-3,recv
86.698161117,client-10,send
86.72850140599999,client-10,recv
88.01850847899999,client-9,send
88.31841986799999,client-9,recv
88.618065568,client-11,send
88.648553816,client-11,recv
89.30796481600001,client-7,send
89.33846897400001,client-7,recv
89.607553826,client-1,send
89.637800238,client-1,recv
89.637813161,client-6,send
89.668526331,client-6,recv
90.178165442,client-12,send
90.208635857,client-12,recv
90.29737647,client-8,send
